pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S,z_S,p_right,p_left,null_mean,null_sd,STR,Max_episode,n_windows,n_episodes
20170707_09_10_02,invisible,0.1,P1,0.0,20.0,14.3,24,21,1,8,0.3555555555555555,-0.7560881912606382,0.8364163583641636,0.2420757924207579,0.4506711111111111,0.1257995517652085,0.0,0.0,10,0.0
20170707_09_10_02,invisible,0.1,P2,20.0,60.0,40.0,55,59,1,26,0.4561403508771929,0.4269240920643739,0.3996600339966003,0.6826317368263174,0.426121052631579,0.070315306171776,0.0,0.0,36,0.0
20170707_09_10_02,invisible,0.1,P3,60.0,180.0,119.5,172,167,1,68,0.4011799410029498,-0.6173069390932224,0.7727227277272273,0.2856714328567143,0.4251297935103244,0.0387973161982515,0.0,0.0,115,0.0
20170707_09_10_03,invisible,0.1,P1,0.0,20.0,15.6,23,25,1,10,0.4166666666666667,-0.3328516766348183,0.7150284971502849,0.4766523347665233,0.4498375,0.099656500663285,0.0,0.0,11,0.0
20170707_09_10_03,invisible,0.1,P2,20.0,60.0,40.0,57,60,1,32,0.5470085470085471,1.5821390267431747,0.0713928607139286,0.9598040195980402,0.4376529914529914,0.0691188029036004,0.15,6.0,36,1.0
20170707_09_10_03,invisible,0.1,P3,60.0,180.0,119.8,152,164,1,57,0.360759493670886,-0.7710597112340671,0.8003199680031997,0.2427757224277572,0.3931126582278481,0.0419593503403016,0.0,0.0,115,0.0
20170707_11_12_01,invisible,0.1,P1,0.0,20.0,16.0,20,28,1,10,0.4166666666666667,-0.0671718036241162,0.593940605939406,0.5587441255874412,0.422675,0.089447253299243,0.0,0.0,12,0.0
20170707_11_12_01,invisible,0.1,P2,20.0,60.0,40.0,59,58,1,23,0.3931623931623931,-0.359384465471015,0.6464353564643536,0.404959504049595,0.428851282051282,0.0993055969798651,0.075,3.0,36,1.0
20170707_11_12_01,invisible,0.1,P3,60.0,180.0,119.4,168,159,1,55,0.3363914373088685,-1.8582633989052668,0.9692030796920308,0.0420957904209579,0.4093969418960245,0.0392869518014317,0.033500837520938,4.0,115,1.0
20170707_11_12_02,invisible,0.1,P1,0.0,20.0,16.3,28,26,1,18,0.6666666666666666,1.6665908747991058,0.0717928207179282,0.9507049295070492,0.4656555555555555,0.1206121515187951,0.0,0.0,12,0.0
20170707_11_12_02,invisible,0.1,P2,20.0,60.0,40.0,67,63,1,34,0.5230769230769231,0.541883460002671,0.3307669233076692,0.7270272972702729,0.4800046153846154,0.0794862934035583,0.0,0.0,36,0.0
20170707_11_12_02,invisible,0.1,P3,60.0,180.0,119.3,191,180,1,85,0.4582210242587601,-0.1189049470003626,0.5766423357664233,0.4720527947205279,0.4632485175202157,0.0422816155953565,0.0251466890192791,3.0,115,1.0
20170707_11_12_03,invisible,0.1,P1,0.0,20.0,15.0,26,25,1,12,0.4705882352941176,-0.1410794921139275,0.6106389361063893,0.512048795120488,0.4829921568627451,0.0879215071075729,0.0,0.0,11,0.0
20170707_11_12_03,invisible,0.1,P2,20.0,60.0,40.0,66,62,1,28,0.4375,-0.4650850262084199,0.7243275672432756,0.3372662733726627,0.4724390625,0.0751240322330709,0.0,0.0,36,0.0
20170707_11_12_03,invisible,0.1,P3,60.0,180.0,119.5,166,166,1,70,0.4216867469879518,0.1366133937620946,0.46995300469953,0.5784421557844216,0.4158915662650603,0.0424202968925839,0.0,0.0,115,0.0
20170710_13_14_01,invisible,0.1,P1,0.0,20.0,14.6,19,24,1,7,0.3255813953488372,-1.0336120727756832,0.9247075292470752,0.1968803119688031,0.424353488372093,0.0955601193376265,0.0,0.0,10,0.0
20170710_13_14_01,invisible,0.1,P2,20.0,60.0,40.0,47,53,1,19,0.38,0.0883994256343067,0.5352464753524647,0.597040295970403,0.374162,0.0660411530743516,0.075,3.0,36,1.0
20170710_13_14_01,invisible,0.1,P3,60.0,180.0,118.1,139,170,1,52,0.3365695792880259,-1.4278333944234425,0.942905709429057,0.0920907909209079,0.3875313915857605,0.0356917077978225,0.0423370025402201,5.0,114,1.0
20170710_13_14_02,invisible,0.1,P1,0.0,20.0,14.8,22,29,1,10,0.392156862745098,-1.160617977015869,0.9131086891310868,0.1830816918308169,0.4964705882352941,0.0898777440604556,0.0,0.0,10,0.0
20170710_13_14_02,invisible,0.1,P2,20.0,60.0,40.0,55,63,1,32,0.5423728813559322,1.6951048713680388,0.0596940305969403,0.9729027097290271,0.438228813559322,0.0614381266644348,0.0,0.0,36,0.0
20170710_13_14_02,invisible,0.1,P3,60.0,180.0,119.7,163,196,1,85,0.4735376044568245,0.8528184533505095,0.2262773722627737,0.833016698330167,0.4454178272980502,0.0329727587956132,0.075187969924812,5.0,115,2.0
20170710_13_14_03,invisible,0.1,P1,0.0,20.0,16.2,28,28,1,12,0.4285714285714285,-0.4433305521962967,0.6657334266573343,0.4084591540845915,0.4932642857142857,0.145924653336801,0.0,0.0,12,0.0
20170710_13_14_03,invisible,0.1,P2,20.0,60.0,40.0,57,77,1,32,0.4776119402985074,-0.2035348570572429,0.658934106589341,0.4564543545645435,0.4890940298507463,0.0564133815615158,0.125,5.0,36,1.0
20170710_13_14_03,invisible,0.1,P3,60.0,180.0,119.5,162,215,1,73,0.3872679045092838,-2.3635417732872623,0.98990100989901,0.0138986101389861,0.4633692307692307,0.0321980034878349,0.0,0.0,115,0.0
20170710_15_16_01,invisible,0.1,P1,0.0,20.0,12.9,15,18,1,6,0.3636363636363636,-0.1538957467023226,0.6514348565143485,0.5446455354464553,0.3809939393939394,0.1127878848474623,0.0,0.0,8,0.0
20170710_15_16_01,invisible,0.1,P2,20.0,60.0,40.0,39,45,1,12,0.2857142857142857,-0.328379512415971,0.68003199680032,0.423957604239576,0.3095166666666666,0.0724843665710471,0.0,0.0,36,0.0
20170710_15_16_01,invisible,0.1,P3,60.0,180.0,118.4,103,121,1,24,0.2142857142857142,-1.5467428154906295,0.9478052194780522,0.0684931506849315,0.2826026785714285,0.0441682764590983,0.0,0.0,114,0.0
20170710_15_16_02,invisible,0.1,P1,0.0,20.0,14.7,16,18,1,7,0.4117647058823529,0.4538148597191394,0.3963603639636036,0.7405259474052595,0.3422294117647058,0.1532239251942557,0.0,0.0,10,0.0
20170710_15_16_02,invisible,0.1,P2,20.0,60.0,40.0,44,49,1,16,0.3440860215053763,-0.0474444417004513,0.5383461653834617,0.5546445355464453,0.3479548387096774,0.0815441612471181,0.0,0.0,36,0.0
20170710_15_16_02,invisible,0.1,P3,60.0,180.0,119.0,109,129,1,31,0.2605042016806723,-0.8640779056199205,0.8309169083091691,0.2245775422457754,0.2961394957983193,0.0412408347509834,0.0336134453781512,4.0,115,1.0
20170710_15_16_03,invisible,0.1,P1,0.0,20.0,13.2,12,12,1,4,0.3333333333333333,0.6152415390686863,0.3724627537246275,0.8231176882311769,0.2553416666666667,0.1267659312872883,0.0,0.0,9,0.0
20170710_15_16_03,invisible,0.1,P2,20.0,60.0,40.0,38,44,1,14,0.3414634146341463,0.5122243740798772,0.3434656534346565,0.7652234776522348,0.3061097560975609,0.0690198677095211,0.0,0.0,36,0.0
20170710_15_16_03,invisible,0.1,P3,60.0,180.0,118.7,103,126,1,31,0.2707423580786026,-0.3648412836159877,0.6742325767423257,0.3974602539746025,0.2863807860262009,0.0428636468784557,0.033698399326032,4.0,114,1.0
