pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170707_07_08_03,invisible,0.1,P2,20.0,60.0,40.0,47,73,1,26.0,0.4333333333333333,0.362745,0.0506569555270535,1.393457869682582,0.1104889511048895,0.938906109389061,,
20170707_07_08_03,invisible,0.1,P3,60.0,180.0,119.4,140,202,1,81.0,0.4736842105263157,0.3478432748538012,0.0296846985558446,4.239252604697168,0.0001999800019998,1.0,,
20170707_09_10_01,invisible,0.1,P1,0.0,20.0,14.6,18,23,1,11.0,0.5365853658536586,0.3676341463414634,0.0877532554094037,1.9252985968893208,0.0520947905209479,0.9878012198780122,,
20170707_09_10_01,invisible,0.1,P2,20.0,60.0,40.0,50,50,1,19.0,0.38,0.326142,0.0544688215518944,0.9887858496936176,0.2124787521247875,0.8817118288171183,,
20170707_09_10_01,invisible,0.1,P3,60.0,180.0,119.5,145,150,1,54.0,0.3661016949152542,0.3360067796610169,0.0325094313058585,0.9257287514843068,0.2061793820617938,0.8474152584741526,,
20170707_09_10_02,invisible,0.1,P1,0.0,20.0,14.3,24,21,1,8.0,0.3555555555555555,0.4084311111111111,0.0857661051197791,-0.6165087651084377,0.8087191280871913,0.3597640235976402,,
20170707_09_10_02,invisible,0.1,P2,20.0,60.0,40.0,55,59,1,26.0,0.4561403508771929,0.3813438596491227,0.0532523097445548,1.40456801943165,0.1052894710528947,0.9465053494650536,,
20170707_09_10_02,invisible,0.1,P3,60.0,180.0,119.5,172,167,1,68.0,0.4011799410029498,0.3730908554572271,0.0307599016522553,0.913172150654882,0.2034796520347965,0.8483151684831517,,
20170707_09_10_03,invisible,0.1,P1,0.0,20.0,15.6,23,25,1,10.0,0.4166666666666667,0.3790958333333333,0.0782156639362009,0.4803492221708835,0.4140585941405859,0.7712228777122287,,
20170707_09_10_03,invisible,0.1,P2,20.0,60.0,40.0,57,60,1,32.0,0.5470085470085471,0.3687418803418804,0.0507901906674497,3.50986409627546,0.0006999300069993,0.999900009999,,
20170707_09_10_03,invisible,0.1,P3,60.0,180.0,119.8,152,164,1,57.0,0.360759493670886,0.3500151898734177,0.0317493681654973,0.3384100036719586,0.4075592440755924,0.6658334166583342,,
20170707_11_12_01,invisible,0.1,P1,0.0,20.0,16.0,20,28,1,10.0,0.4166666666666667,0.3850458333333333,0.082632092131417,0.3826701287321145,0.4447555244475552,0.7365263473652635,,
20170707_11_12_01,invisible,0.1,P2,20.0,60.0,40.0,59,58,1,23.0,0.3931623931623931,0.3886461538461538,0.0525093647428266,0.0860082642088382,0.527047295270473,0.6033396660333966,,
20170707_11_12_01,invisible,0.1,P3,60.0,180.0,119.4,168,159,1,55.0,0.3363914373088685,0.3723186544342508,0.0314077171134448,-1.1438977559436398,0.8904109589041096,0.1487851214878512,,
20170707_11_12_02,invisible,0.1,P1,0.0,20.0,16.3,28,26,1,18.0,0.6666666666666666,0.4100740740740741,0.0766804840336736,3.346256819139431,0.0011998800119988,0.9997000299970004,,
20170707_11_12_02,invisible,0.1,P2,20.0,60.0,40.0,67,63,1,34.0,0.5230769230769231,0.4239723076923077,0.0494505812114687,2.004114268360324,0.0296970302969703,0.9864013598640136,,
20170707_11_12_02,invisible,0.1,P3,60.0,180.0,119.3,191,180,1,85.0,0.4582210242587601,0.4140161725067386,0.0296465690111315,1.4910613007334403,0.0816918308169183,0.9435056494350564,,
20170707_11_12_03,invisible,0.1,P1,0.0,20.0,15.0,26,25,1,12.0,0.4705882352941176,0.4271647058823529,0.081817324416659,0.5307375879297649,0.3832616738326167,0.7809219078092191,,
20170707_11_12_03,invisible,0.1,P2,20.0,60.0,40.0,66,62,1,28.0,0.4375,0.4252109375,0.0510212693288395,0.2408615595350086,0.4688531146885311,0.6475352464753524,,
20170707_11_12_03,invisible,0.1,P3,60.0,180.0,119.5,166,166,1,70.0,0.4216867469879518,0.3742403614457831,0.0315055541433308,1.505968926187328,0.0827917208279172,0.9432056794320568,,
20170710_13_14_01,invisible,0.1,P1,0.0,20.0,14.6,19,24,1,7.0,0.3255813953488372,0.3914325581395348,0.0892208728320236,-0.7380690269044532,0.842015798420158,0.3127687231276872,,
