a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170706_01_02_01,20170706_01_02_03,0,visible,0.1,P1,0.0,20.0,20.0,32,25,14,0.49122807017543857,0.8466885526675743,0.2516748325167483,0.8392160783921608,1
20170706_01_02_01,20170706_01_02_03,0,visible,0.1,P2,20.0,60.0,40.0,61,41,22,0.43137254901960786,0.8567591549761621,0.24327567243275672,0.8376162383761624,1
20170706_01_02_01,20170706_01_02_03,0,visible,0.1,P3,60.0,180.0,114.6,157,102,46,0.3552123552123552,0.8127436511341259,0.23147685231476853,0.8201179882011799,1
20170706_01_02_01,20170706_03_04_02,0,visible,0.1,P1,0.0,20.0,20.0,33,30,8,0.25396825396825395,-1.818069910269033,0.9854014598540146,0.030596940305969402,1
20170706_01_02_01,20170706_03_04_02,0,visible,0.1,P2,20.0,60.0,40.0,60,50,24,0.43636363636363634,0.43140517789774535,0.38396160383961603,0.7013298670132987,1
20170706_01_02_01,20170706_03_04_02,0,visible,0.1,P3,60.0,180.0,114.60000000000001,158,152,69,0.44516129032258067,1.059322697444048,0.17488251174882513,0.8622137786221378,1
20170706_01_02_01,20170706_05_06_01,0,visible,0.1,P1,0.0,20.0,20.0,33,24,13,0.45614035087719296,0.6330480095381686,0.3170682931706829,0.8096190380961904,1
20170706_01_02_01,20170706_05_06_01,0,visible,0.1,P2,20.0,60.0,40.0,61,43,23,0.4423076923076923,0.901430157030649,0.21927807219278073,0.8343165683431657,1
20170706_01_02_01,20170706_05_06_01,0,visible,0.1,P3,60.0,180.0,115.19999999999999,159,127,55,0.38461538461538464,0.4219662119749158,0.36626337366263373,0.6993300669933007,1
20170706_01_02_01,20170706_11_12_02,0,visible,0.1,P1,0.0,20.0,20.0,32,25,17,0.5964912280701754,1.4789763845254096,0.11628837116288371,0.9471052894710529,1
20170706_01_02_01,20170706_11_12_02,0,visible,0.1,P2,20.0,60.0,40.00000000000001,61,47,19,0.35185185185185186,-0.5825060569056576,0.7756224377562244,0.31116888311168883,1
20170706_01_02_01,20170706_11_12_02,0,visible,0.1,P3,60.0,180.0,115.29999999999998,159,122,57,0.40569395017793597,1.1850772122902957,0.13308669133086692,0.909009099090091,1
20170706_01_02_01,20170710_01_02_01,0,visible,0.1,P1,0.0,20.0,20.0,32,30,15,0.4838709677419355,0.2849378188275479,0.4380561943805619,0.7238276172382762,1
20170706_01_02_01,20170710_01_02_01,0,visible,0.1,P2,20.0,60.0,40.0,61,49,25,0.45454545454545453,0.6504650722761511,0.3104689531046895,0.7704229577042295,1
20170706_01_02_01,20170710_01_02_01,0,visible,0.1,P3,60.0,180.0,114.69999999999999,158,148,63,0.4117647058823529,0.28304689396164917,0.41075892410758924,0.6486351364863514,1
20170706_01_02_01,20170710_01_02_02,0,visible,0.1,P1,0.0,20.0,20.0,32,31,15,0.47619047619047616,0.12969385343255402,0.5342465753424658,0.5969403059694031,1
20170706_01_02_01,20170710_01_02_02,0,visible,0.1,P2,20.0,60.0,40.0,61,48,18,0.3302752293577982,-1.1670628023565621,0.9012098790120988,0.15748425157484253,1
20170706_01_02_01,20170710_01_02_02,0,visible,0.1,P3,60.0,180.0,113.99999999999999,157,157,76,0.4840764331210191,1.7517353063924301,0.044995500449955005,0.9701029897010299,1
20170706_01_02_01,20170710_01_02_03,0,visible,0.1,P1,0.0,20.0,20.0,32,30,19,0.6129032258064516,1.6357173605053694,0.058694130586941305,0.9841015898410159,1
20170706_01_02_01,20170710_01_02_03,0,visible,0.1,P2,20.0,60.0,40.0,61,55,32,0.5517241379310345,1.7327790839858368,0.0565943405659434,0.9635036496350365,1
20170706_01_02_01,20170710_01_02_03,0,visible,0.1,P3,60.0,180.0,114.3,157,164,64,0.3987538940809969,-0.4940355990308257,0.7192280771922808,0.3461653834616538,1
20170706_01_02_01,20170714_01_02_01,0,visible,0.1,P1,0.0,20.0,20.0,32,29,14,0.45901639344262296,0.07363874287705466,0.527047295270473,0.5624437556244376,1
20170706_01_02_01,20170714_01_02_01,0,visible,0.1,P2,20.0,60.0,40.0,61,63,30,0.4838709677419355,0.30698943210274154,0.43045695430456954,0.6742325767423257,1
20170706_01_02_01,20170714_01_02_01,0,visible,0.1,P3,60.0,180.0,114.1,156,169,58,0.3569230769230769,-1.790182885466373,0.971002899710029,0.045295470452954706,1
20170706_01_02_01,20170714_03_04_01,0,visible,0.1,P1,0.0,20.0,20.0,31,28,14,0.4745762711864407,0.5345939216821588,0.35096490350964904,0.7775222477752225,1
20170706_01_02_01,20170714_03_04_01,0,visible,0.1,P2,20.0,60.0,40.0,62,58,26,0.43333333333333335,-0.20979418317394813,0.6431356864313569,0.45545445455454453,1
20170706_01_02_01,20170714_03_04_01,0,visible,0.1,P3,60.0,180.0,115.89999999999999,158,127,62,0.43508771929824563,1.776661792239209,0.048995100489951,0.9659034096590341,1
20170706_01_02_01,20170714_03_04_02,0,visible,0.1,P1,0.0,20.0,20.0,32,30,9,0.2903225806451613,-1.6511883180115845,0.9635036496350365,0.0795920407959204,1
20170706_01_02_01,20170714_03_04_02,0,visible,0.1,P2,20.0,60.0,40.0,61,57,32,0.5423728813559322,1.5719989802624816,0.06669333066693331,0.9594040595940406,1
20170706_01_02_01,20170714_03_04_02,0,visible,0.1,P3,60.0,180.0,113.9,157,135,59,0.4041095890410959,0.6143147442966737,0.294970502949705,0.7589241075892411,1
20170706_01_02_01,20170714_03_04_03,0,visible,0.1,P1,0.0,20.0,20.0,33,29,14,0.45161290322580644,0.13849213303789,0.5281471852814719,0.6342365763423657,1
20170706_01_02_01,20170714_03_04_03,0,visible,0.1,P2,20.0,60.0,40.0,61,52,22,0.3893805309734513,-0.4170779638611452,0.7155284471552845,0.37546245375462456,1
20170706_01_02_01,20170714_03_04_03,0,visible,0.1,P3,60.0,180.0,115.69999999999999,159,166,63,0.38769230769230767,-0.7035577329029704,0.7776222377762224,0.2666733326667333,1
20170706_01_02_01,20170714_05_06_01,0,visible,0.1,P1,0.0,20.0,20.0,33,21,13,0.48148148148148145,1.2384246460990629,0.1526847315268473,0.916108389161084,1
20170706_01_02_01,20170714_05_06_01,0,visible,0.1,P2,20.0,60.0,40.0,61,41,16,0.3137254901960784,-0.6750775331195085,0.7798220177982201,0.3027697230276972,1
20170706_01_02_01,20170714_05_06_01,0,visible,0.1,P3,60.0,180.0,114.50000000000001,158,118,48,0.34782608695652173,-0.0659524366231282,0.557944205579442,0.5063493650634937,1
20170706_01_02_02,20170706_03_04_01,0,visible,0.1,P1,0.0,20.0,20.0,30,27,12,0.42105263157894735,0.0496504707964029,0.5621437856214379,0.577042295770423,1
20170706_01_02_02,20170706_03_04_01,0,visible,0.1,P2,20.0,60.0,40.00000000000001,58,51,17,0.3119266055045872,-1.2445705285374047,0.9284071592840716,0.11578842115788421,1
20170706_01_02_02,20170706_03_04_01,0,visible,0.1,P3,60.0,180.0,113.69999999999999,155,148,50,0.33003300330033003,-1.6527217661752516,0.9575042495750425,0.057394260573942604,1
20170706_01_02_02,20170706_03_04_02,0,visible,0.1,P1,0.0,20.0,20.0,30,30,14,0.4666666666666667,0.2475479645351694,0.45345465453454653,0.6547345265473453,1
20170706_01_02_02,20170706_03_04_02,0,visible,0.1,P2,20.0,60.0,40.0,58,50,18,0.3333333333333333,-0.8542715657107549,0.835916408359164,0.23377662233776622,1
20170706_01_02_02,20170706_03_04_02,0,visible,0.1,P3,60.0,180.0,114.60000000000001,156,152,54,0.35064935064935066,-1.2572050543552944,0.9045095490450955,0.12308769123087691,1
20170706_01_02_02,20170706_05_06_01,0,visible,0.1,P1,0.0,20.0,20.0,30,24,11,0.4074074074074074,0.20294251329671353,0.5029497050294971,0.6635336466353364,1
20170706_01_02_02,20170706_05_06_01,0,visible,0.1,P2,20.0,60.0,40.0,58,43,22,0.43564356435643564,0.9735934068228561,0.20227977202279773,0.8700129987001299,1
20170706_01_02_02,20170706_05_06_01,0,visible,0.1,P3,60.0,180.0,115.1,157,127,56,0.39436619718309857,0.6728309574787085,0.2733726627337266,0.776022397760224,1
20170706_01_02_02,20170706_05_06_02,0,visible,0.1,P1,0.0,20.0,20.0,30,27,12,0.42105263157894735,0.06304064183565128,0.5552444755524447,0.5665433456654334,1
20170706_01_02_02,20170706_05_06_02,0,visible,0.1,P2,20.0,60.0,40.0,58,50,29,0.5370370370370371,1.7232926469513141,0.0370962903709629,0.9781021897810219,1
20170706_01_02_02,20170706_05_06_02,0,visible,0.1,P3,60.0,180.0,115.1,157,142,62,0.41471571906354515,0.6179890542835413,0.2910708929107089,0.7590240975902409,1
20170706_01_02_02,20170706_11_12_01,0,visible,0.1,P1,0.0,20.0,20.0,30,24,7,0.25925925925925924,-1.603464333043508,0.9656034396560343,0.06409359064093591,1
20170706_01_02_02,20170706_11_12_01,0,visible,0.1,P2,20.0,60.0,40.00000000000001,57,48,19,0.3619047619047619,-0.4284540830613855,0.7153284671532847,0.36696330366963303,1
20170706_01_02_02,20170706_11_12_01,0,visible,0.1,P3,60.0,180.0,113.19999999999999,155,122,43,0.3104693140794224,-1.1314545202531225,0.8827117288271172,0.14208579142085792,1
20170706_01_02_02,20170706_11_12_03,0,visible,0.1,P1,0.0,20.0,20.0,30,24,15,0.5555555555555556,1.574858576362266,0.0705929407059294,0.9542045795420458,1
20170706_01_02_02,20170706_11_12_03,0,visible,0.1,P2,20.0,60.0,40.0,58,46,20,0.38461538461538464,0.029610515103124856,0.5533446655334466,0.5898410158984102,1
20170706_01_02_02,20170706_11_12_03,0,visible,0.1,P3,60.0,180.0,114.3,156,128,56,0.39436619718309857,0.6398242767467213,0.280971902809719,0.7672232776722328,1
20170706_01_02_02,20170710_07_08_01,0,visible,0.1,P1,0.0,20.0,20.0,30,18,4,0.16666666666666666,-2.0590970860612763,0.985001499850015,0.0400959904009599,1
20170706_01_02_02,20170710_07_08_01,0,visible,0.1,P2,20.0,60.0,40.0,57,45,15,0.29411764705882354,-1.1747760964722898,0.9232076792320768,0.14288571142885712,1
20170706_01_02_02,20170710_07_08_01,0,visible,0.1,P3,60.0,180.0,114.0,156,74,31,0.26956521739130435,0.18494489660140578,0.47705229477052297,0.6256374362563744,1
20170706_01_02_02,20170714_01_02_02,0,visible,0.1,P1,0.0,20.0,20.0,30,32,15,0.4838709677419355,0.32224816360938774,0.45665433456654336,0.6642335766423357,1
20170706_01_02_02,20170714_01_02_02,0,visible,0.1,P2,20.0,60.0,39.99999999999999,57,62,28,0.47058823529411764,0.4472599630111121,0.36876312368763126,0.7269273072692731,1
20170706_01_02_02,20170714_01_02_02,0,visible,0.1,P3,60.0,180.0,113.5,155,189,79,0.45930232558139533,0.2798620211311331,0.4166583341665833,0.6246375362463754,1
20170706_01_02_02,20170714_01_02_03,0,visible,0.1,P1,0.0,20.0,20.0,30,34,21,0.65625,2.0369287395163655,0.034396560343965606,0.9849015098490151,1
20170706_01_02_02,20170714_01_02_03,0,visible,0.1,P2,20.0,60.0,40.00000000000001,57,68,38,0.608,2.697577332800318,0.012598740125987402,0.9948005199480052,1
20170706_01_02_02,20170714_01_02_03,0,visible,0.1,P3,60.0,180.0,114.29999999999998,156,191,68,0.3919308357348703,-1.492191803969186,0.9381061893810619,0.07939206079392061,1
20170706_01_02_02,20170714_03_04_03,0,visible,0.1,P1,0.0,20.0,20.0,31,29,9,0.3,-1.7270976944491254,0.9915008499150085,0.06379362063793621,1
