rel_path,n_trial_rows,dropped_columns,n_events_legacy,n_events_chew_only,n_spurious_events_removed,spurious_values,n_trial_values_coinciding_with_real_chews,first_event_legacy,first_event_chew_only
visible_pair_Human/A/20170714_01_02_02_A.csv,9,Trial,254,246,8,1;2;3;4;5;6;7;8,1,1.0,5.7
visible_pair_Human/A/20170714_01_02_03_A.csv,12,Trial,256,246,10,1;2;3;4;5;7;9;10;11;12,2,1.0,5.1
visible_pair_Human/A/20170714_03_04_01_A.csv,12,Trial,217,205,12,1;2;3;4;5;6;7;8;9;10;11;12,0,1.0,3.9
visible_pair_Human/A/20170714_03_04_02_A.csv,17,Trial,237,222,15,1;2;3;4;5;6;7;8;10;12;13;14;15;16;17,2,1.0,3.3
visible_pair_Human/A/20170714_03_04_03_A.csv,19,Trial,234,216,18,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19,1,1.0,5.2
visible_pair_Human/A/20170714_05_06_01_A.csv,26,Trial,261,237,24,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;25;26,2,1.0,5.2
visible_pair_Human/A/20170714_05_06_02_A.csv,25,Trial,273,251,22,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;19;20;21;22;24;25,3,1.0,3.3
visible_pair_Human/A/20170714_05_06_03_A.csv,22,Trial,275,259,16,1;2;3;4;5;6;8;9;12;14;16;17;18;20;21;22,6,1.0,4.6
visible_pair_Human/A/20170714_07_08_01_A.csv,15,Trial,197,186,11,1;2;3;4;6;8;9;11;12;13;15,4,1.0,5.0
visible_pair_Human/A/20170714_07_08_02_A.csv,20,Trial,239,221,18,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;20,2,1.0,4.3
visible_pair_Human/A/20170714_07_08_03_A.csv,19,Trial,227,210,17,1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18,2,1.0,4.4
visible_pair_Human/B/20170706_01_02_01_B.csv,12,Trial,192,181,11,1;2;3;4;5;6;7;8;9;10;12,1,1.0,4.3
visible_pair_Human/B/20170706_01_02_02_B.csv,15,Trial,206,193,13,1;2;3;4;6;7;8;9;11;12;13;14;15,2,1.0,5.0
visible_pair_Human/B/20170706_01_02_03_B.csv,12,Trial,178,168,10,1;2;3;4;6;7;8;9;10;12,2,1.0,5.0
visible_pair_Human/B/20170706_03_04_01_B.csv,19,Trial,244,227,17,1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;19,2,1.0,5.9
visible_pair_Human/B/20170706_03_04_02_B.csv,16,Trial,242,231,11,1;2;3;4;5;8;9;10;13;14;15,5,1.0,4.7
visible_pair_Human/B/20170706_03_04_03_B.csv,19,Trial,277,260,17,1;2;3;4;5;6;8;10;11;12;13;14;15;16;17;18;19,2,1.0,6.2
visible_pair_Human/B/20170706_05_06_01_B.csv,23,Trial,217,195,22,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;23,1,1.0,4.5
visible_pair_Human/B/20170706_05_06_02_B.csv,21,Trial,239,220,19,1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;20;21,2,1.0,4.5
visible_pair_Human/B/20170706_05_06_03_B.csv,24,Trial,234,213,21,1;2;3;5;6;7;8;9;10;12;14;15;16;17;18;19;20;21;22;23;24,3,1.0,4.0
visible_pair_Human/B/20170706_11_12_01_B.csv,16,Trial,210,195,15,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16,1,1.0,6.4
visible_pair_Human/B/20170706_11_12_02_B.csv,13,Trial,206,193,13,1;2;3;4;5;6;7;8;9;10;11;12;13,0,1.0,4.4
visible_pair_Human/B/20170706_11_12_03_B.csv,13,Trial,208,198,10,1;2;3;4;5;6;8;9;10;12,3,1.0,5.2
visible_pair_Human/B/20170710_01_02_01_B.csv,17,Trial,243,228,15,1;2;3;4;6;7;9;10;11;12;13;14;15;16;17,2,1.0,5.0
visible_pair_Human/B/20170710_01_02_02_B.csv,20,Trial,255,236,19,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;20,1,1.0,5.7
visible_pair_Human/B/20170710_01_02_03_B.csv,20,Trial,266,248,18,1;2;3;4;5;6;7;8;9;10;11;13;15;16;17;18;19;20,2,1.0,5.2
visible_pair_Human/B/20170710_07_08_01_B.csv,9,Trial,145,137,8,1;2;3;4;6;7;8;9,1,1.0,5.0
visible_pair_Human/B/20170710_07_08_02_B.csv,5,Trial,93,88,5,1;2;3;4;5,0,1.0,6.3
visible_pair_Human/B/20170710_07_08_03_B.csv,10,Trial,150,140,10,1;2;3;4;5;6;7;8;9;10,0,1.0,5.8
visible_pair_Human/B/20170714_01_02_01_B.csv,14,Trial,273,261,12,1;2;3;4;6;7;8;9;11;12;13;14,2,1.0,5.0
visible_pair_Human/B/20170714_01_02_02_B.csv,17,Trial,300,283,17,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,0,1.0,6.1
visible_pair_Human/B/20170714_01_02_03_B.csv,17,Trial,308,292,16,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1,1.0,4.9
visible_pair_Human/B/20170714_03_04_01_B.csv,13,Trial,224,213,11,1;2;3;4;5;8;9;10;11;12;13,2,1.0,3.3
visible_pair_Human/B/20170714_03_04_02_B.csv,14,Trial,234,222,12,1;2;3;4;5;6;7;8;9;12;13;14,2,1.0,5.5
visible_pair_Human/B/20170714_03_04_03_B.csv,15,Trial,260,246,14,1;2;3;5;6;7;8;9;10;11;12;13;14;15,1,1.0,4.0
visible_pair_Human/B/20170714_05_06_01_B.csv,17,Trial,194,179,15,1;2;3;4;5;7;9;10;11;12;13;14;15;16;17,2,1.0,4.8
visible_pair_Human/B/20170714_05_06_02_B.csv,21,Trial,210,191,19,1;2;3;4;5;6;8;9;10;11;12;13;14;15;17;18;19;20;21,2,1.0,4.4
visible_pair_Human/B/20170714_05_06_03_B.csv,28,Trial,244,219,25,1;2;3;4;5;6;7;8;9;10;11;12;13;15;17;18;19;20;21;22;24;25;26;27;28,3,1.0,3.8
visible_pair_Human/B/20170714_07_08_01_B.csv,7,Trial,164,157,7,1;2;3;4;5;6;7,0,1.0,4.9
visible_pair_Human/B/20170714_07_08_02_B.csv,8,Trial,165,157,8,1;2;3;4;5;6;7;8,0,1.0,6.4
visible_pair_Human/B/20170714_07_08_03_B.csv,9,Trial,187,178,9,1;2;3;4;5;6;7;8;9,0,1.0,4.9
