t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,
91.5,0.891763071,0.412873088,-1.58253784,-0.308382785,-0.937197925,0.313413091,0.457495961,1.025798815,-2.313607432,-0.343479584,-0.989273865,0.789650912,0.076538131,0.514238592,-0.164242059,1.295950524,1.990251477,-0.113926835,-0.542281152,-1.770367869,-0.761531055,-0.209845585,1.002213734,0.017539977,-1.554377349,-0.603357947,1.782751892,0.131438358,-0.040441768,-0.856467641,,,,,,,,,,,,,,,,,
92.5,1.151895277,0.666845482,-1.058955895,0.914321096,0.766534489,0.257019929,0.583296482,0.798207008,-1.381576863,-2.035770775,0.037928496,0.49566231,0.514852205,-0.343716465,0.448583901,1.030594933,1.983089569,0.409939001,1.827202262,-1.462185844,0.29418155,-0.970825039,1.032505568,-1.375708097,-2.723050491,-1.110467882,1.508659429,0.453641658,-0.261999809,-0.810538864,,,,,,,,,,,,,,,,,
93.5,0.994075294,0.942352409,-0.901746553,0.365193023,1.372716192,0.5558922,-0.852284228,0.585923245,-0.487102323,-2.442481017,-0.776868175,0.549069416,0.606037797,-1.215778985,0.606779558,0.535048338,1.871885407,1.251956631,1.775698508,-1.931067986,0.485576313,0.425326765,0.524199807,-2.095501213,-1.822998822,-0.119999175,-0.191055817,0.357473718,-0.440124739,-0.258924979,,,,,,,,,,,,,,,,,
94.5,0.659532845,0.53876988,0.927820315,0.409559471,0.909582058,0.18119386,-0.140896528,0.774296781,0.438815967,-2.868414418,1.449627107,1.214878912,0.561093222,-1.246734641,0.722727921,1.043957449,1.112709734,0.916043847,0.9499121,-0.97626269,0.817294436,0.258304846,0.663492991,-2.198755453,-1.56568865,-0.59440317,-2.322637889,-0.321147482,-0.078360218,0.463261493,,,,,,,,,,,,,,,,,
95.5,1.086325616,1.032693036,1.625949354,0.597554896,1.256311023,-0.197672439,-0.218697242,0.531302355,0.308560638,-0.965094678,1.783557089,1.114755856,0.737942417,-0.826201977,0.448528776,1.278867403,1.023121241,0.962536051,0.532379334,-0.845229401,-0.66330758,1.86873637,0.69911411,-1.461957312,-1.724332692,1.005962593,-1.238847923,0.045301665,-0.363605875,-0.046557943,,,,,,,,,,,,,,,,,
96.5,0.805888052,0.323253811,1.452723893,0.785283084,1.063725954,0.48854691,0.255320176,0.484982425,0.687428788,-3.138087269,1.615905776,1.023393886,1.42370835,-0.396417201,0.837293042,0.383310771,1.464673409,0.292306738,-0.679609425,-0.188180934,-0.888802192,0.976297696,0.186629629,-1.87060342,-0.325073543,1.375018754,-2.218381561,-0.893479245,-0.948958592,-0.472499661,,,,,,,,,,,,,,,,,
97.5,0.993907709,-0.698721685,0.83891109,0.42465963,0.075333051,0.406508316,0.721161268,-0.266171642,0.525515221,1.477230192,1.056983131,1.575497601,0.831593454,0.113066308,0.280666499,1.115603849,-0.122520543,0.807088163,-0.426131319,-0.669697934,-1.734794307,1.113250385,0.701705975,-0.974029469,0.755607778,-0.455565759,-3.177708916,-1.883485429,-0.633471452,-0.78430565,,,,,,,,,,,,,,,,,
98.5,1.289913797,0.29032065,1.37385153,-0.049837867,0.128566632,-0.174216367,0.634202407,0.343951667,0.688974914,1.283539273,1.080414097,1.615576259,0.280028816,0.392504699,0.210533398,0.633440691,-0.859140027,0.28966202,-0.316314748,0.618991746,-1.713442919,1.142070601,-0.089269362,-1.392077502,0.938245386,0.101570458,-1.421836783,-0.959665572,0.049766803,-1.684093527,,,,,,,,,,,,,,,,,
99.5,1.447470937,0.521706495,1.12780639,0.551515548,0.25171965,0.345846876,0.133723683,-0.493311939,0.664591889,1.047297292,-0.052901834,1.299432615,-1.079408735,0.837343179,-0.260180429,-0.277636355,-1.556590872,-0.308110154,-0.827393916,0.315664904,-1.351463024,0.691090564,-0.149737941,0.368757538,0.576122698,0.034085998,0.901473557,-1.66574907,-0.350357636,-0.946954987,,,,,,,,,,,,,,,,,
100.5,0.351926649,-1.163545114,0.525089711,0.622127314,0.552344113,0.175527128,0.852372765,0.133413094,0.825783741,0.901490449,0.751960542,-0.628397217,-1.087629626,-0.030754178,-0.325081393,-0.373157904,-0.976765507,-0.353096188,0.326268383,0.44163758,-0.555665939,0.79101755,-0.52065512,-0.111148168,0.688259998,0.441253782,0.083018761,-3.050429564,1.076943183,-0.837292857,,,,,,,,,,,,,,,,,
101.5,-1.335286778,-1.717496537,1.321510931,0.285502961,0.560252589,1.359153063,-0.502013715,0.752796334,0.472718679,-0.785884846,0.591499497,0.285917734,-2.167010435,-0.232768001,-0.099532676,-0.007895494,-0.408470221,0.269185667,0.988184336,-0.720821407,0.307071736,0.922161991,-0.591543339,0.37861436,1.015649707,1.533183334,1.132598929,-1.748849388,1.601631058,0.399295042,,,,,,,,,,,,,,,,,
102.5,-1.25452505,-3.145374831,1.93458845,-0.380127164,1.579939212,1.346625959,-0.297834319,0.799639809,0.411343804,-0.397924097,1.078895764,0.898095415,-2.140061374,0.106061962,-0.161571329,0.810634471,0.242598388,0.271911581,0.973370028,-0.634032656,0.319600024,0.22662963,-1.172012841,0.269695441,-0.668816353,1.898317358,1.473533332,-1.689707255,0.785449784,1.05671472,,,,,,,,,,,,,,,,,
103.5,-0.527622319,-2.980746502,1.143086824,-0.230303,1.03390426,0.791536926,0.622496411,1.041630421,1.041171217,-1.025767738,1.939623911,0.380417154,-1.926219117,-0.347423707,-0.006111833,0.718509417,0.180865909,0.783707876,1.017154005,-1.941695794,-0.898805181,0.932647037,-0.767328668,0.040892389,-0.716489325,1.539939061,0.799263918,-2.972713764,1.107696375,0.522253628,,,,,,,,,,,,,,,,,
104.5,0.568212198,-2.38810931,0.219812179,-0.210220097,-2.419867998,1.099253212,0.09126862,0.805762255,0.828030586,-0.645052986,1.22336816,0.236654466,-1.527349931,-0.515992806,-0.024129705,1.6256828,0.575658724,1.20192672,0.583776813,-3.1771902,-1.767455893,-0.035526652,-0.826867174,0.334748846,-1.677229227,1.464483938,1.582973106,-1.756905478,0.896770279,0.995085514,,,,,,,,,,,,,,,,,
