t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,,,,
37.5,0.511848064,2.656856436,-1.051026655,-1.806343982,0.703254992,1.273208764,-0.121424234,-0.959725048,0.803988441,0.378274478,1.192771277,0.184622143,-1.627806784,0.122777763,0.366843141,0.998242441,,-0.800075761,1.339209535,-0.735515661,0.692928399,-1.658066566,0.312281594,0.634060411,1.400600846,-2.409200735,1.517751871,-0.247933052,-0.181118553,-0.111008253,,,,,,,,,,,,,,,,,,,,,,
38.5,0.526919676,1.776602004,-0.445808382,-2.647578028,-0.10528294,1.047047287,0.149952878,-1.858643953,1.446177597,-0.547645658,-0.798842304,-0.644971633,-1.381779407,0.836344418,-0.097715732,1.144030152,-0.805174993,-0.164314281,0.678181296,-0.865365167,1.415093046,-2.103847771,0.229510365,0.634211518,0.722978155,-2.702559757,1.34477329,-0.537226097,-0.179509287,-0.24513419,,,,,,,,,,,,,,,,,,,,,,
39.5,0.247909652,1.085719423,0.184323225,-1.424468029,0.5644371,0.21920414,-0.45270943,-1.054215036,0.425746968,0.563815006,0.726487332,-0.771883219,0.526973494,0.114952734,-0.431979332,0.518380506,-1.126247934,0.706157085,1.231798205,-0.337117257,0.149203536,-1.082967577,1.018530419,0.00634265,-0.880497722,-1.585228877,0.542807758,-0.051334858,0.415671806,1.070861097,,,,,,,,,,,,,,,,,,,,,,
40.5,-0.077096961,1.570242148,0.180339852,-0.846758169,0.226071006,-0.294665528,0.081390167,-1.748561043,1.009390387,0.732545855,1.287461058,-0.784118344,1.352368268,-0.800192412,-0.556164045,0.0603287,-1.164988673,0.478327033,0.766590405,-0.46199741,-0.282717486,-1.058057506,0.157577353,0.308357761,-1.297986982,-0.324609004,0.614177022,0.475011735,-1.162386981,1.268706594,,,,,,,,,,,,,,,,,,,,,,
41.5,0.418022381,0.927814593,-0.434321196,-0.911497928,0.191154725,0.686963188,-0.366803332,-0.182440143,0.160213939,0.661988134,1.556573453,-0.581476736,1.609384391,-0.226292706,-0.498805679,0.526500371,0.043470082,0.297307271,-0.021377497,-0.472052444,-0.116207028,-0.333690694,-0.27016574,-0.936356161,-0.506746685,0.174833381,0.084199357,0.340651306,-1.969117925,0.10634728,,,,,,,,,,,,,,,,,,,,,,
42.5,-0.450750955,1.912081897,-0.107459168,-0.222527572,0.915260601,0.978827286,0.268722076,-0.389106806,-0.130662706,-0.312170039,1.272532,-1.03723855,1.152012013,-0.395039391,-0.553675355,0.361831938,0.897869399,0.824124684,-1.306174134,0.878275991,-0.044546004,0.326813075,0.077911393,-1.646648261,-0.812543204,0.821275218,-0.31907717,1.051364793,-3.194006551,0.774724454,,,,,,,,,,,,,,,,,,,,,,
43.5,-0.23876937,0.798282145,-0.878769253,0.39869569,0.287636758,0.334353804,0.663038002,-0.605540681,0.097467831,0.401015407,0.893645677,-0.360580148,-0.286511258,0.239881079,-0.58004556,0.320657486,0.110394355,0.356411854,-0.551619527,-0.770234747,-0.642508682,0.522268349,-0.097595676,-1.751492096,-0.736021866,0.247581457,0.493007842,1.564713096,-3.476790824,0.885489361,,,,,,,,,,,,,,,,,,,,,,
44.5,-1.371202109,-0.333352459,-2.195701983,0.853345774,-0.26660958,1.017167736,0.829097348,-0.431291674,0.140220324,-0.064061828,0.857959433,-1.109425238,0.574136895,0.088877631,-0.288236447,0.786390558,-0.391120289,0.191168708,-1.378160643,-0.309663569,0.229487211,-0.059392325,0.239846241,-0.193351713,-0.114667303,-0.566752064,0.273133934,1.395444928,-3.516454563,0.113327845,,,,,,,,,,,,,,,,,,,,,,
45.5,0.429990189,0.949335338,-1.718768732,0.111136072,0.979630531,0.553377327,-0.063975936,-1.509597574,-0.347068367,2.91E-05,0.971540745,-0.360434578,-0.136586373,1.238113864,0.163256326,1.164388835,-0.459620609,0.655500754,-0.103800465,0.681356098,0.326590922,0.033389041,-0.160706868,-0.61832572,-1.674512341,-0.090736189,-0.388935929,1.044623391,-1.127843572,0.297889594,,,,,,,,,,,,,,,,,,,,,,
46.5,-0.690324315,0.661028945,0.145516919,-0.340522225,0.306585625,0.117065316,0.42817232,-1.228013488,0.532616384,0.120031599,0.782540137,-0.381339472,-0.291270133,0.555700836,0.3065005,0.500519374,-1.249533618,0.529729631,-0.099233432,-0.902811024,0.17868124,0.590982397,0.060316017,-0.42256323,-1.013368258,-0.927008344,-0.147212139,0.523745757,0.012408307,0.190824311,,,,,,,,,,,,,,,,,,,,,,
47.5,-0.748917014,0.977917084,-0.043908185,-0.612019759,-0.22906142,0.4326646,-0.362090078,-0.833121939,0.570913262,0.681111127,0.887609146,0.395414061,-0.109865481,0.878252666,-0.880068222,0.49148769,-1.241627236,0.395663877,0.132574667,0.161676621,0.682881062,-0.43834146,-0.325282236,1.049799626,-0.211078969,-0.466738683,0.486747197,1.280145811,0.529117002,-0.700566303,,,,,,,,,,,,,,,,,,,,,,
48.5,-0.173846748,1.428218432,0.921460591,-1.436141149,0.632656529,-0.127488008,-0.354492198,-0.223169978,0.156015383,0.425900903,1.417790022,-0.160999448,0.390890623,0.407175747,-0.289291002,0.269488694,-1.288762649,0.305362124,-0.683698388,0.797046018,0.715300502,1.177092263,0.206730606,0.620298401,-0.008855517,-1.127254808,-0.340312956,0.436171824,0.451092846,-1.199500953,,,,,,,,,,,,,,,,,,,,,,
49.5,-0.173488849,1.410947826,1.932876337,-0.56680521,0.504440668,-2.677692164,-0.355298551,-0.725096813,-0.158815922,0.632955564,0.390581782,0.807881585,0.062656907,0.749924991,0.130698866,0.36618987,-1.290073874,-0.130371979,0.150039176,0.784139154,0.074332304,-0.168740627,-0.645200234,0.731132101,0.711313009,0.648103766,0.655399787,-0.327887935,-0.156741548,0.324421468,,,,,,,,,,,,,,,,,,,,,,
50.5,0.285963378,0.733311124,1.819316984,-0.793736682,0.341185608,-1.868466259,0.20267406,0.796862086,0.860478839,0.582535266,0.489232752,0.394242219,0.607237316,0.786635649,-0.636822034,-0.199170355,-1.206411358,0.199547788,0.411067533,1.079412897,0.623541728,-0.80029232,1.046255584,0.886688662,1.273011041,0.470852025,1.456391564,-0.651934049,0.523636457,1.314288649,,,,,,,,,,,,,,,,,,,,,,
51.5,0.766733016,0.519657147,1.269701212,0.503840918,-1.01491917,-2.694757126,0.221880995,-0.03774223,0.614034776,0.493483593,-1.012289574,0.369978887,0.591016476,-0.053811395,0.694318955,-0.407403114,-0.461176864,0.277978002,-0.327891516,1.109191024,0.303926408,-2.84047047,0.279134618,0.649984404,1.421362936,0.526547666,0.618825234,-0.571600565,-0.06338985,1.549667268,,,,,,,,,,,,,,,,,,,,,,
