t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03
109.5,0.828153055,-0.43502271,-0.202466314,1.635972576,-1.204574052,-0.393715228,0.186725493,0.211972704,1.105812088,-0.352689116,-1.208840693,-1.012723795,-0.790560584,-1.635925001,0.670409656,1.625855219,,0.817807583,-1.642071857,0.531624047,3.477258476,0.403807992,-0.534990852,-0.34132383,-1.779886325,-0.749128259,0.9365726,,-0.565762227,-1.373847259
110.5,0.431991731,-1.186441777,0.260497629,1.836166192,-0.443223726,0.230387195,0.417619351,-0.295650858,0.217221916,-0.336393461,-1.170449517,-0.912940442,-0.262324576,-0.783315273,0.517467776,1.766595063,,1.873485819,-1.541244571,0.903604786,3.501503359,0.708604157,0.274552752,0.399181671,-1.684490881,0.376396578,1.117382396,,-0.674647423,-1.422470434
111.5,0.366826102,-0.308499848,0.997277187,1.459025129,-0.246384784,-0.105582527,0.881430631,-0.751903759,-0.765312907,-0.167932359,-0.941655693,0.303139882,-0.857957147,-0.685526316,1.67929854,1.368752423,,1.749590756,-0.833712426,-0.533273294,3.56425141,-0.781786874,-0.269310799,0.966512585,-0.504787799,0.236350897,1.301943601,,-0.594426025,-0.49128973
112.5,-0.506672778,-0.322027731,1.948721302,1.556360495,0.22081833,0.718066296,-0.20374156,0.012656586,-0.741250011,-0.189679014,-0.623877844,1.755750427,-0.231324003,-0.201878406,2.042678319,2.754507388,,1.887298009,-0.823425825,-0.521190851,2.130386454,-0.54971584,-0.331118201,0.523573996,0.327899516,0.067418839,-0.659350183,,-0.510601248,-0.484308326
113.5,0.379138837,0.276061107,-0.618181969,1.622087181,0.343418838,1.430427262,1.548544539,-0.001000118,-0.712416276,0.22314435,-0.624101522,1.157472759,0.305255733,-0.58423502,1.460056583,2.12549458,,1.433678694,0.155948982,-0.159510504,1.722302869,-0.55235071,-0.38630386,0.325036362,0.301560746,-0.06229972,-0.774298155,,-0.587608013,0.271720487
114.5,-0.515772327,-0.006542391,-0.892445095,0.752499606,-0.457518247,1.996602615,1.521527115,-0.640841284,-1.476267758,0.720799118,-0.659784057,2.502095704,0.303883187,-0.741963799,1.392659146,1.980174649,,1.477085856,0.438227969,-0.328367252,0.32875045,-0.90285808,-0.971881123,0.344071417,1.100307991,-0.135336911,-1.569264576,3.521925708,-1.572899041,0.529358287
115.5,0.20297151,0.110265653,0.293551897,-0.400712047,-1.179067734,1.44716336,1.179660228,-0.499538341,-1.49419694,-0.888094918,1.114206307,2.132959852,0.308051643,-1.268378016,2.02746107,,,-0.001862903,0.940782546,-0.318774839,-0.391733114,-1.059559278,-1.795096623,-0.842307762,0.747787959,-1.011707495,-0.586466977,1.946349432,-1.428218594,0.816780042
116.5,0.939690796,-0.607022385,0.859942325,-1.579000386,-1.213242405,1.447006887,0.270498403,0.204616415,-0.69518952,0.428269173,0.718907651,1.132159626,0.408951598,-1.061822197,2.367444576,,,-1.117535774,0.232120708,0.204584812,-1.106069621,-1.090069634,-1.497021906,-1.639583554,-0.261892775,-0.702641224,-0.814802902,2.05843422,-1.43727825,-0.235753316
117.5,1.761706728,0.758617522,0.298938791,-1.770969415,-1.411812869,0.785253303,0.132561798,-1.083161687,0.201044485,1.827812996,1.556171985,1.03888513,-0.701639172,-1.76871449,1.774110273,,,-0.985757608,0.729045008,1.239530527,-1.607548488,-1.388135282,-0.524601443,-1.531686256,-0.054772676,-0.297485505,-0.570775752,0.583886909,-1.494155769,-0.334101358
118.5,0.748681848,0.258208762,0.938231318,-1.687939011,-1.387246336,-0.749873873,-0.64401323,-1.114342037,0.483559043,1.78268466,1.337785709,1.053808232,-1.434422387,-1.78032418,2.651109964,-0.373143929,,-0.773781823,-0.516108706,1.01574007,-1.774780752,-1.621957158,0.597504289,-1.495603867,0.332799325,-0.042142976,0.118409965,1.218202187,-1.25529425,-1.236796819
