t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,
92.5,-1.018906097,-0.185924307,-1.707717332,0.191461952,0.667098548,0.126743995,-0.239069321,1.042442405,1.054759604,1.218820741,-1.851067152,0.590399914,-0.360166883,-0.267854658,-0.422687471,-1.307920657,-0.449005362,1.005051046,1.54286862,0.827546361,-0.318044852,0.447254317,-0.14398014,0.563395178,0.254634051,0.431568718,1.152624548,-1.236380766,,-2.578053652,,,,,,,,,,,
93.5,-1.041332929,0.579578276,0.183739672,1.022230086,0.860876283,-0.971057353,1.006286233,-1.060990159,0.992041352,1.075562455,-0.620394871,-0.238441336,-0.610259567,0.007650625,0.495774067,-1.445236057,-1.623810384,0.57911383,2.230157368,0.652437579,-0.447053297,0.33439601,-0.131263017,0.551452656,-0.204072942,1.045303078,0.55202255,-0.580405611,0.923463441,-3.212241145,,,,,,,,,,,
94.5,-1.033041819,-0.040354118,-0.266602476,1.204848802,-0.013149819,-1.256173596,0.782713407,-0.661706115,0.822828016,0.706538241,0.513648231,-0.806172435,-0.788229967,0.467313539,0.592909377,-1.682162639,,0.854240735,1.299878592,1.018715756,-0.100060016,-0.180861156,0.254196929,1.066410781,0.215895327,-0.212891051,0.563746351,0.400993336,0.406157714,-2.639745197,,,,,,,,,,,
95.5,-0.887325404,0.223946186,0.484699942,1.213017409,-0.077694304,-0.800037568,0.860805682,-0.267458423,0.277475505,1.214132379,0.842842951,-0.914340408,-1.385120708,0.61008673,-0.78966364,-1.859912775,,0.64644916,1.62745872,0.699732921,1.065203229,0.065088747,-0.289128887,1.028865421,0.700307582,-0.250234009,0.456519848,0.39832551,-0.729688937,-1.544805237,,,,,,,,,,,
96.5,-0.168244357,-0.270358479,0.71386966,-0.07326221,0.121471165,-0.416573491,0.058204129,-0.127257743,1.246834395,1.81916785,0.803433501,-2.403798426,-0.728613892,0.943566617,0.356834312,-1.856641176,,-0.279472053,1.495201585,0.391283698,1.147583296,0.455141891,0.359765903,1.731822732,0.564195026,0.909179532,0.570739622,-0.579072539,-0.319843569,-0.687760186,,,,,,,,,,,
97.5,-0.569194518,-0.700921297,1.23288296,0.495077331,-0.196085589,-0.411095072,0.241327186,0.429920605,0.529080321,0.665642853,1.360178564,-2.968621834,1.110678372,0.548200178,-0.755631301,-1.135635876,,-0.237857883,1.603760112,0.176114298,1.536208575,-0.037795893,0.307561651,2.046062821,0.52702271,-0.241557801,-0.178424302,-0.156598879,-0.179063056,0.297162748,,,,,,,,,,,
98.5,-0.187151262,0.153229499,0.472711188,0.807359673,-0.249566436,0.368981219,0.301934573,1.020775437,1.051086163,1.022031402,1.300496117,-2.865200126,0.563089668,0.812363137,-1.314489885,-0.899320674,,-0.150392162,0.966786683,0.576348883,0.927212679,-0.028705402,0.101711319,2.105399773,0.660719878,-0.2031982,0.587348251,-0.361793485,-0.611790593,0.662618554,,,,,,,,,,,
99.5,-0.38521122,0.406402893,1.069585139,1.081240074,-0.02356322,0.846589122,0.671912644,0.902030586,1.077530217,1.136803565,1.311211252,-3.492139775,0.237848656,0.487691527,-0.811163153,-0.100961389,,-0.452026715,1.661444628,0.57508064,0.671840148,-0.048050684,-0.037997459,2.198013707,-0.016532289,-0.076869651,0.745517148,-1.410448349,-2.508741538,1.03004543,,,,,,,,,,,
100.5,-0.619593925,0.94482702,0.861950733,0.034740421,-0.735517109,0.482470943,0.022195939,1.41248505,1.120648226,0.654683685,1.013351169,-3.525021779,-0.256500408,1.193986141,0.660641303,0.716295038,,-0.860220858,0.802224232,0.352550496,0.695950355,0.170939387,-0.301806231,1.786614872,0.108107511,0.586721392,1.699631479,-0.602493376,-2.366429925,1.038908778,,,,,,,,,,,
101.5,-0.011240437,0.549825175,0.653714927,-0.626665512,0.185438475,-0.494980975,0.71607766,1.518489524,0.813338029,0.445498085,0.735025248,-2.272843629,-0.386294529,1.699733497,0.804555719,1.222870814,,-0.24522513,1.196691457,0.402067043,1.275954295,-0.954865516,0.138064081,1.388213939,-0.739303255,-0.523979171,0.833436738,-0.276349208,-1.539101317,0.829613493,,,,,,,,,,,
102.5,0.749681304,1.515512189,1.591400339,-0.159331606,0.513546398,-0.363852101,0.621775547,0.338758792,0.029921317,0.530562107,0.620376033,-1.316816681,0.660038225,1.944489788,1.068080647,1.328612672,,-0.923003633,0.818545036,-0.264201001,1.187544478,-0.958248203,-1.467570829,0.629575802,-1.710949091,-0.09132393,0.128185552,-0.104282553,-2.149051662,1.05831586,,,,,,,,,,,
