t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,
63.5,0.211792146,-0.075635785,-0.846434459,0.715058949,-0.648411908,0.112301117,0.952840575,0.832087191,0.454981943,0.190156476,-0.484181361,0.792324305,0.739810748,1.552200309,-1.93120207,0.512940731,0.770014075,-1.733306774,0.847168099,0.114925874,0.029234951,0.540836789,-2.307654056,-0.172874207,0.241731195,-0.766523731,-1.293275811,0.338383249,0.158831657,0.524355407,,,,,,,,,,,,,,,,,,,,,,,
64.5,0.00604114,1.368338316,-2.099056805,-1.395007638,-0.754776308,-0.210956367,0.865863922,0.495679879,0.581553489,0.836532298,-0.596659154,0.625387263,-0.421218243,1.157790379,-1.37764316,-0.279466336,-0.548888668,-1.690327188,0.518123135,0.018222321,-0.709113829,-0.661643509,-1.890480692,-0.210494343,0.37402684,-0.531298386,-2.342849705,0.095827545,-0.793436121,0.028016742,,,,,,,,,,,,,,,,,,,,,,,
65.5,0.59080606,1.053118332,-2.302986721,-2.23745527,-0.345213955,-0.015221227,0.394100349,0.220010136,0.758947943,-0.701566341,-0.093966662,0.810086424,0.137127029,0.303703618,-0.579449983,-0.211742568,-0.610641446,-0.193222004,-0.776432136,0.843283096,-1.699663113,0.821694945,-0.502968847,-0.064919692,0.330902776,-0.804860337,-0.98599925,0.564282827,0.072381645,-0.067954583,,,,,,,,,,,,,,,,,,,,,,,
66.5,-0.015383888,1.068874436,-3.09055054,-3.431170517,0.0976374,-0.11880844,1.028173749,-0.118417364,-0.630658471,-0.29618397,0.927957763,0.718962696,-0.561517964,0.033540058,-0.892284643,-0.12182351,-1.143914919,0.307184537,-0.164685883,0.210255676,-0.721017965,-0.093378918,0.564144315,0.820464571,0.451138264,0.78755687,-1.004223478,0.469377776,0.384901745,-0.300791823,,,,,,,,,,,,,,,,,,,,,,,
67.5,0.118096149,1.305348048,-1.473461352,-4.17026914,-0.102357409,-2.07766871,1.024829593,-0.107938747,-1.074913159,-2.273859488,1.15254939,0.551529726,-0.2122009,0.284729327,-0.058789349,-0.231469876,-0.57991212,0.887852164,-0.653036152,1.052756618,-0.378604632,0.31776862,0.290683834,0.283588772,0.409190017,0.611439532,-0.429108378,0.029881317,0.420591959,-0.558024086,,,,,,,,,,,,,,,,,,,,,,,
68.5,0.850547777,0.800951091,-1.023714063,-3.248355847,0.084572073,-1.972218906,0.981936414,-0.137793852,0.071580267,-1.354970366,-0.775211031,0.645611707,0.587382334,0.172362934,0.163598919,-0.185449599,-1.376954265,0.587968224,-0.700256629,0.153156074,-0.985294955,1.185023246,0.964516077,0.312290349,-0.410186968,1.312782301,-0.885232338,0.405977198,0.863854635,-0.773774407,,,,,,,,,,,,,,,,,,,,,,,
69.5,0.756040461,0.559546,-0.370179912,-0.515215579,0.031618338,-1.406353,1.383394592,0.555048505,-0.324694708,-0.475289637,-0.099160763,-0.03744997,-0.190320502,0.572101954,0.005076397,-0.92562389,-1.381602294,1.21134576,-0.620092732,1.539701348,0.115738671,0.563977497,0.264920601,-0.086621471,-0.475016738,1.281535559,-1.038602199,0.280581132,0.958452181,-0.664015108,,,,,,,,,,,,,,,,,,,,,,,
70.5,0.883283777,0.602122488,0.028775202,0.66340653,0.089192379,-0.402528832,0.247302131,0.462664721,-0.696286123,-0.306209213,-0.080526271,-0.013031817,0.699809258,-0.176368084,0.256487986,-0.303532948,-1.43187905,1.290217302,-0.517763166,1.036858432,0.106622158,0.092404214,0.15448715,-0.066346516,0.169981568,1.460312566,-0.279128062,0.389968192,1.237898375,-0.595445154,,,,,,,,,,,,,,,,,,,,,,,
71.5,0.847393775,0.935147057,0.156064882,0.972330904,0.091831697,0.071590882,0.035391794,0.49558783,-0.067522452,-0.707910864,-0.864389186,0.33694857,1.140440471,-0.047442727,0.075628637,-1.176201909,-0.623088165,0.941630477,-1.424039437,0.07901519,-0.763789912,0.107632629,-0.367984518,-1.889262517,0.612130894,0.779380893,-0.243784735,0.46275354,0.824297542,-1.174910136,,,,,,,,,,,,,,,,,,,,,,,
72.5,-0.245092439,1.322547791,0.747096277,0.724344571,-0.707756138,0.476057666,0.23967929,0.61722483,0.295170497,-0.05145473,1.471034854,0.680270171,1.196104699,-0.618822642,-0.099263287,-1.148827746,-0.397937014,0.98322745,-1.693916195,-0.667129653,-0.516146153,0.539154275,-0.223269142,-2.111622147,0.762650613,0.915427037,0.328954688,0.468430805,0.686691818,-0.658357508,,,,,,,,,,,,,,,,,,,,,,,
