t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,,,,,,,,,,,,,,,,,,,
40.5,-0.08166541,1.575124761,0.025697169,-0.955445806,-0.088350247,-0.369913791,-0.06960541,-1.799684811,0.736961786,0.646944287,1.258608193,-0.893054687,1.348089142,-0.959005411,-0.563785261,0.051257812,0.924931842,0.437974355,0.730191229,-0.554997395,-0.407480178,-1.060096679,0.064532025,0.213142057,-0.483403939,-0.5225309,0.581337889,0.426400306,-1.510102483,1.266955661,,,,,,,,,,,,,,,,,,,
41.5,0.369281852,0.927814593,-0.532092609,-0.989154527,-0.160687683,0.671986655,-0.586763923,-0.203082301,0.076915474,0.643407559,1.516008029,-0.666439577,1.607627175,-0.395280019,-0.500193653,0.526008677,1.664409965,0.267426143,-0.03169475,-0.606513775,-0.188561953,-0.335036173,-0.468739593,-1.061759519,-0.690235536,-0.069850974,0.035120073,0.296750119,-2.279510367,0.052324486,,,,,,,,,,,,,,,,,,,
42.5,-0.683328107,1.891674562,-0.384721499,-0.362673154,0.114965587,0.949495291,0.222873397,-0.584468057,-0.168092625,-0.317826448,1.264582407,-1.040921541,1.151258534,-0.674986709,-0.556710097,0.281019698,2.616903513,0.80563288,-1.427584678,0.853590687,-0.078587324,0.326061349,-0.09661737,-1.912946001,-1.004916543,0.607866922,-0.398847001,1.031543124,-3.491054408,0.764726807,,,,,,,,,,,,,,,,,,,
43.5,-0.335219409,0.792385866,-1.090653721,0.279238211,-0.149967115,0.329688371,0.618760184,-0.795896397,0.093336826,0.209214577,0.888390711,-0.360580148,-0.286511258,0.113733626,-0.58286938,0.296316717,-0.233939868,0.336519397,-0.589116446,0.536457424,-0.646464941,0.515041131,-0.24624763,-2.235802789,-1.091037462,0.018743265,0.461720631,1.543799242,-3.603750811,0.873591509,,,,,,,,,,,,,,,,,,,
44.5,-1.528192233,-0.382976918,-0.64290712,0.737476552,-0.546358294,1.017004292,0.785541125,-0.917572064,0.126918651,-0.294290434,0.855434455,-1.126195292,0.502012891,-0.02383337,-0.330539687,0.756566786,-0.496494507,0.191168708,-1.491246512,0.982269317,0.229487211,-0.059392325,0.181195745,-0.507708846,-0.282254157,-0.716000033,0.234492299,1.385922559,-3.610889462,0.098886392,,,,,,,,,,,,,,,,,,,
45.5,-0.26362779,0.942637593,-2.018264364,0.076689728,0.864285196,0.551259509,-0.168759054,-1.864319171,-0.489945881,-0.403260065,0.968987801,-0.36484874,-0.236467114,1.162778654,0.036836635,1.132831741,-0.463754838,0.600662827,-0.12003215,2.260483527,0.325673357,0.030272181,-0.161994508,-0.854696692,-1.849392537,-0.176634926,-0.414294136,1.015372592,-1.132194857,0.277852323,,,,,,,,,,,,,,,,,,,
46.5,-0.90006141,0.540385008,-0.02478322,-0.349251973,0.198396012,0.117065316,0.307078518,-1.373792209,0.429954258,-0.272145339,0.774892202,-0.390078829,-0.423252982,0.534220603,0.210056907,0.379490764,-1.249703028,0.51610838,-0.110184206,0.333952766,0.144017221,0.588213991,0.038537452,-0.588591939,-1.136495002,-0.961158893,-0.174120916,0.487957307,0.003977531,0.018266724,,,,,,,,,,,,,,,,,,,
47.5,-0.981311573,0.87539898,-0.134902425,-0.61580515,-0.286105333,0.429318466,-0.636149252,-1.001714352,0.467933393,0.386954458,0.86942227,0.387147412,-0.369309735,0.861733157,-1.063071107,0.390126706,-1.241627236,0.338396674,0.131438969,1.103599188,0.649736487,-0.506595517,-0.325282236,1.005919414,-0.447147233,-0.563639284,0.456013882,1.265941006,0.523549418,-0.8953015,,,,,,,,,,,,,,,,,,,
48.5,-0.355949365,1.336628477,0.809733666,-1.441993803,0.632656529,-0.135144211,-0.846905797,-0.334046953,0.003584336,0.360218897,1.401003278,-0.20830909,-0.047019392,0.3954784,-0.37396008,0.062317065,-1.288762649,0.232108354,-0.728306006,0.789367768,0.702833772,1.154693418,0.205580768,0.586033923,-0.504976323,-1.150878671,-0.390242395,0.385528427,0.410374823,-1.672004451,,,,,,,,,,,,,,,,,,,
49.5,-0.370802921,1.339276536,1.936241026,-0.595037332,0.503502474,-2.764327265,-0.670246563,0.487961716,-0.294174062,0.621296252,0.319239461,0.692594899,-0.150609603,0.715777499,0.108566018,0.149610699,-1.290073874,-0.267493092,0.129325915,0.784139154,0.045185246,0.934103738,-0.645200234,0.731180497,0.413467958,0.617301341,0.643701905,-0.355662469,-0.208263945,0.111546878,,,,,,,,,,,,,,,,,,,
