t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03,,,,,,,,,,,,,,,,,,,,,,,,,
35.5,0.884799212,0.380275753,-0.346686811,-0.966703796,-0.247941271,1.231590459,0.01025432,0.16815052,-0.19587868,0.166393269,0.743101709,1.596228209,-0.070734344,0.167577843,-0.675558342,1.06777561,0.537027989,-1.070926507,1.498045561,-0.154244655,0.362892162,1.639723686,0.239883706,0.157968837,-0.259088658,-0.128882616,1.159767323,0.11024201,-0.267338462,0.15845704,,,,,,,,,,,,,,,,,,,,,,,,,
36.5,0.495671972,-0.144004314,-1.477339315,-0.138910465,-0.126775088,0.654539978,0.038664831,0.475518011,-0.158217157,0.54593912,0.417547648,1.503726741,-0.052480103,0.551784597,-1.02805741,1.887545287,0.631665612,0.212143498,1.120593765,-0.947694418,0.323533538,2.08732174,1.461332087,0.736779406,0.258851789,0.540055239,1.004122065,0.121108885,0.761104398,0.056740884,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,0.510349239,0.085513627,-0.526345509,1.715498426,0.160987483,0.690779523,-0.426923508,1.103280376,-0.166411286,1.01779756,0.390614499,0.970185739,-0.495668744,0.246400405,0.076908463,1.530813243,0.416286246,0.729001167,1.042754362,-1.686663603,0.382214247,1.719386599,1.535989787,1.032143581,-0.989308598,0.067788583,0.333099921,0.848694982,-0.402200015,-0.479014889,,,,,,,,,,,,,,,,,,,,,,,,,
38.5,0.934559682,-0.385763653,-0.321304546,1.081939726,0.86307891,0.212576884,-0.698008684,0.902395484,0.874191599,0.388268961,0.698483783,1.597120845,-0.775665441,0.058089397,,1.43209032,-0.373886,1.288100939,0.511893555,0.226282936,0.772846623,1.558496006,-0.154894383,1.041869768,-0.941879747,0.586178321,-0.575780329,1.680030424,0.468387317,0.542075198,,,,,,,,,,,,,,,,,,,,,,,,,
39.5,0.628487099,-0.115084904,1.06256516,0.565724304,0.786183521,-0.335352646,0.281093918,0.99905779,1.010982942,0.790492999,0.195694488,0.747971301,-1.359345991,0.430384587,-0.004623819,1.309573629,-0.566719195,1.222749308,0.569062473,-0.237755447,0.996687451,1.684402949,0.296601003,0.959044367,-0.964896458,0.285636564,-0.01623312,0.949494013,0.520602876,0.1271019,,,,,,,,,,,,,,,,,,,,,,,,,
40.5,0.477929945,1.000094869,1.512628936,0.073130917,0.778383588,-0.472887281,0.092970838,0.89969405,1.132431889,1.082585975,-0.070725337,1.187784916,-0.210684304,-0.067820269,-0.862638092,1.418907953,0.716398715,1.217823059,-0.049336891,-0.541731126,0.678122154,1.461608291,-0.800300006,1.063850196,-0.864256003,0.672066085,-0.301144993,-0.13479174,0.846899182,0.479120878,,,,,,,,,,,,,,,,,,,,,,,,,
41.5,0.726885346,1.015087395,1.397029115,-1.28286909,0.449737046,-0.498644641,0.881285709,0.911940553,0.271883021,1.595105962,0.356235537,1.368434575,-0.024511772,-0.501143306,-0.625304465,0.535826295,0.469315508,0.363149414,-0.946782479,0.083666502,1.041131261,0.774249383,-0.045062105,1.823164269,-2.042778308,0.552759166,-0.133660808,-0.607046068,0.534819214,0.733266615,,,,,,,,,,,,,,,,,,,,,,,,,
42.5,0.84629285,1.544945465,1.211457825,-2.143041856,0.87215135,-1.75387755,-0.043360755,0.892722429,0.128353846,0.662532406,-0.204972675,0.79758853,1.149091443,0.274848348,-0.345552762,1.088286228,1.18556291,0.514724142,-0.9245178,-0.510113296,1.280277151,0.509302845,-0.097206073,1.443936279,-0.398727848,0.479717167,1.40717235,-0.678978753,0.885075474,0.569811231,,,,,,,,,,,,,,,,,,,,,,,,,
43.5,0.279097213,0.985502666,0.24218198,-1.882879236,1.312807845,0.875257313,-0.039852796,1.121503687,-1.504937694,0.222486884,-0.238927759,1.059201927,1.204393553,0.205050228,-0.190737613,1.364962629,1.072338156,-0.110365608,-0.301204862,-0.36933229,0.806593062,-0.386579515,0.862488202,1.022933782,-0.438276704,1.528394779,1.308714714,-1.78490158,0.680717429,0.542670384,,,,,,,,,,,,,,,,,,,,,,,,,
44.5,0.347516886,1.018549003,-0.60312906,-0.201561791,0.145965204,0.756513964,0.528963517,0.792857862,-0.748080248,-0.033540338,0.015451607,1.35488474,1.85492784,0.271684071,-0.770017083,1.244265622,1.033551813,-0.103969719,-0.970375537,0.491602888,0.495634399,-1.593151083,1.165295031,0.542470244,0.980709943,1.504037318,1.048805303,-1.86526358,0.410745731,0.287942414,,,,,,,,,,,,,,,,,,,,,,,,,
45.5,0.583308229,0.494742047,-1.138376359,-0.01111314,0.064314783,0.318348783,0.074132024,0.846166648,-0.815449089,-1.281299738,0.044935002,1.702205302,1.86075423,0.512061262,0.202812293,1.557865143,0.325816345,-0.715358947,0.05617504,-0.452965534,-0.177335292,-0.128810812,0.656059289,0.234827583,0.902934343,-0.022240154,0.381845914,-2.136991185,0.445813552,0.373249127,,,,,,,,,,,,,,,,,,,,,,,,,
