t_center,z_S_t__20170705_01_02_01,z_S_t__20170705_01_02_02,z_S_t__20170705_01_02_03,z_S_t__20170705_03_04_01,z_S_t__20170705_03_04_02,z_S_t__20170705_03_04_03,z_S_t__20170707_01_02_01,z_S_t__20170707_01_02_02,z_S_t__20170707_01_02_03,z_S_t__20170707_03_04_01,z_S_t__20170707_03_04_02,z_S_t__20170707_03_04_03,z_S_t__20170707_05_06_01,z_S_t__20170707_05_06_02,z_S_t__20170707_05_06_03,z_S_t__20170707_07_08_01,z_S_t__20170707_07_08_02,z_S_t__20170707_07_08_03,z_S_t__20170707_09_10_01,z_S_t__20170707_09_10_02,z_S_t__20170707_09_10_03,z_S_t__20170707_11_12_01,z_S_t__20170707_11_12_02,z_S_t__20170707_11_12_03,z_S_t__20170710_13_14_01,z_S_t__20170710_13_14_02,z_S_t__20170710_13_14_03,z_S_t__20170710_15_16_01,z_S_t__20170710_15_16_02,z_S_t__20170710_15_16_03
30.5,0.908147142,-0.176473874,-0.970361307,0.624096933,-0.438427877,1.156858053,-0.811655698,0.696253146,0.575562808,1.211483742,1.232830245,1.103926756,0.237104935,-1.790681796,-0.368030313,-0.301405176,0.337446974,-1.500623493,-0.399261493,-1.000110452,1.715341521,1.224927427,-0.49340636,0.571784638,2.280913559,0.684416938,0.164544144,-0.064304079,0.910833285,-0.475153496
31.5,0.756616161,-1.029027951,-0.173977509,-0.246920933,-0.36725612,1.167446413,-0.970189813,0.186270723,1.057675634,0.974076212,1.072339963,1.117949515,0.561219204,-1.886151027,-0.529839626,-1.572385141,-0.124698115,-1.386450982,-0.347046819,-1.187835538,1.257388297,1.534136151,-1.066090725,-0.199340067,1.728867841,-0.1659197,0.032907654,-0.572131224,0.360793282,-0.807302541
32.5,0.635423549,-1.770546306,-0.442571909,-0.765363688,-0.762853342,1.315585884,-1.063577536,-0.210606111,1.00902046,1.242303201,0.324140497,1.180716978,0.730846668,-0.613118925,-0.74329192,-0.718023601,-0.707821968,-1.089730269,-0.943746231,-0.288536573,0.99302945,1.254699188,-0.995472256,-1.128255849,1.742410838,0.171171344,-0.811308806,-0.282279463,1.099371081,-1.713011168
33.5,-0.09180211,-1.239263474,0.14987721,-1.140643035,-0.176516512,1.059637542,-1.215115828,0.111390841,1.097787641,1.339749044,0.285519599,1.235813881,0.85868476,-0.158021754,-1.462626059,0.355935889,-1.01820986,-1.843278758,0.58668334,-0.801676452,1.325942642,1.766892746,-0.488886775,-0.660272759,0.407276186,0.105410672,-0.568133128,-1.439526321,1.190810045,-1.478402424
34.5,0.012524723,-0.772141453,0.131617679,-1.871833063,-0.425814653,1.670724812,-1.5280236,-0.037568524,0.859909638,1.257092514,0.364859975,2.025959576,0.381812661,0.429593924,-1.342396771,0.340316236,-0.785308863,-1.008932844,0.948368307,-0.101224777,0.441678269,2.133976424,0.343799956,-0.582645498,-0.562877456,0.638150021,-0.1443847,-1.468264368,0.476556171,-0.497491806
35.5,0.11416151,-0.870954063,0.381405959,-1.155628255,-0.961645271,1.786991532,-2.053597287,0.118611203,0.437572745,0.890070843,-1.078737903,2.107121097,-0.121387771,0.878933177,-0.847613217,1.040011,-1.12122886,-0.761013081,0.439830902,0.265885402,0.477556157,2.006026263,0.480894451,-0.597453775,-1.348576065,-0.183865576,-0.191403259,0.030595477,0.464462866,-0.245971842
36.5,0.064117126,0.206971854,-1.654950722,-0.431746396,-0.180233448,0.697974055,-2.016240121,1.045936263,-0.320262583,0.95973508,-1.25278546,2.050628256,0.705929449,0.479768469,-1.474319177,1.713219276,-1.064288777,0.343596119,0.236803018,-0.074520297,0.363516659,1.574017318,0.396559699,0.322861214,-1.789627519,0.166833951,-0.19199229,-0.442528356,1.475563968,-0.31759123
37.5,0.75394157,1.075545633,-0.595516703,1.227438299,0.809573902,0.754400875,-1.811999229,1.64858231,-0.995028158,0.4937304,-0.953769201,1.697947701,0.351119016,-0.414531282,-0.774667328,1.278596924,-1.357128466,0.734025277,0.048482636,-0.568984445,-0.394603577,1.507103454,0.391575951,1.109076034,-2.546105722,0.048332776,-0.886855293,0.20497256,0.443253321,-0.657307228
38.5,1.023649739,0.642039113,-0.215220761,0.802239972,0.876435894,0.214814128,-2.564638072,1.378157299,0.042485381,-0.260608603,-0.672807514,2.003773569,0.234018778,-0.577660497,,1.191582693,-1.15693929,1.937736821,-0.51721307,-0.144754873,-0.203250773,1.279933764,-0.594981489,1.077309711,-1.843283725,0.520073507,-0.017443495,0.485399602,0.233479192,0.338215362
39.5,1.538586801,0.041918236,0.183221538,0.312304253,0.854633873,-0.322599354,-1.438404707,1.458982846,0.247703865,0.225104774,-0.973836689,0.86097799,-0.256640034,-0.097624688,0.305965536,0.377871876,-1.176675073,1.197035727,-0.38398151,-0.433895422,0.779053919,1.254246028,-0.353445427,1.038786224,-1.347056302,1.196922541,-0.378643611,0.525441685,0.521359895,-0.014694426
40.5,1.247121716,0.090540651,0.752063579,-0.063152692,0.717127757,-0.754858276,-0.941776424,0.883903807,-0.075861998,0.630578961,0.296683477,1.188291001,0.76750148,-0.66157339,-0.391664273,0.380850686,-0.77993067,1.214837167,-0.045919938,-0.558278127,0.416693483,0.535983739,0.546490228,0.522076422,-0.731109357,-0.196683148,-0.342927119,-0.641568628,0.232814426,0.586634626
41.5,0.654930909,-0.834163419,0.725136993,-0.426916205,0.327197345,0.175185724,-0.29083112,1.015564289,-0.371259861,0.422618936,0.513775022,0.683818993,0.870449786,-0.518806149,0.007067872,0.652953413,-0.9714322,0.4095253,0.110878271,0.36586411,0.833346614,0.852272352,1.028839176,0.504382854,-0.815882258,0.044844491,-0.229343909,-0.468178681,-0.614953386,1.686301109
42.5,0.658275076,-0.933396721,0.589750188,-1.082563718,-0.138085457,-0.719865183,0.031345845,0.928923989,-0.734597437,0.6630065,0.128048475,0.247843635,1.814110372,0.310391135,0.322308716,1.03417774,-0.231046247,-0.096785685,0.228151807,0.693800999,0.92865399,0.129514493,1.074792554,0.113470837,0.315101964,-0.064255667,1.035834975,-0.75749684,-0.715291669,1.466802455
43.5,0.25872994,-1.537938755,0.443814182,-0.724952058,0.036580028,1.242226986,0.699522532,0.833684482,-2.242434737,0.350211808,-0.076230017,-0.106068335,1.833389819,0.230134779,0.599968806,1.364809598,-0.965620488,-0.673073377,0.621370547,0.078561935,0.63206554,-0.98235789,1.513119202,-0.910907976,0.274732527,0.711726932,1.082214505,-1.292480343,-0.805834679,0.56577404
44.5,0.346016216,-1.003043661,-0.192839913,-0.280200383,-0.00170865,1.107185754,0.549820263,0.408077234,-2.387679979,-0.027283585,0.809133411,0.909483416,2.379702695,0.2391244,0.104310451,1.972448448,-1.029458319,-1.287515784,0.147824707,0.301493909,-0.332014252,-1.524562322,0.572856481,-1.084451507,1.468265505,0.639257993,1.041173468,-1.36416925,-0.67131001,0.172908737
45.5,0.721400871,-0.736638863,-1.667090399,-0.154457736,-0.057076433,0.787963076,0.77887539,0.463208497,-1.580553363,-0.284819598,0.782246565,1.214404064,0.536138953,-0.052293726,0.982354616,1.563801224,-0.903088788,-1.216988931,0.167966547,-0.74624186,-1.077497759,-1.172944424,0.315717436,-0.144697997,1.497757533,1.036199774,1.331808509,-1.39244019,-0.978286343,0.192021196
46.5,1.250347632,0.284394011,-0.843170288,1.037514336,-0.256051794,0.822083427,0.163665724,-0.313739197,-1.461501571,0.011621698,0.165873816,1.52986974,-1.153485531,0.036466483,0.346549331,1.49548299,-0.267342081,-0.775243378,0.413512916,-1.915543795,-2.485025207,-1.559028545,0.422545061,0.06091494,1.442775957,0.634790312,0.970788174,-1.264808173,-0.256191282,-0.587958182
47.5,1.836382944,1.009321462,-0.668401395,0.553931968,0.867225616,0.407331079,0.781665605,-0.239569054,-1.375913377,0.417032765,0.843672844,0.915251423,-0.410087791,-0.66625965,0.074924199,0.669463871,-1.246070908,0.121132726,0.92626736,0.2062199,-1.84041961,-0.955765203,-0.212705375,-0.156969776,0.83573771,1.448129579,-0.199468981,-0.330565292,0.546354123,-0.137048538
48.5,1.540481146,0.283937369,0.220567198,-0.315612359,-0.803312097,0.182371935,1.033572053,-0.311259841,-1.052119949,2.199353145,-0.459087077,1.162059951,-0.950865242,-1.25204053,-0.72151226,0.491963408,-1.032319064,0.437263969,0.605389237,-0.236708598,-2.049988942,-0.498262037,0.434700334,0.556407561,0.694371729,0.244907662,-1.337912453,0.172067009,1.325490517,0.139450775
49.5,0.955531948,0.689311127,0.808421152,0.007258288,-0.9137738,0.088360435,-0.143358143,-0.158396831,-1.229878757,1.748307755,-0.306547346,0.679903288,-1.31382487,-1.174686362,-0.807491247,-0.44704812,-1.021353799,1.238016354,-0.751822035,-0.075954712,-1.013414855,-0.082705972,1.068431261,0.547156304,0.267675676,-0.701072106,-0.837641059,-0.030939453,0.379669024,0.126426498
50.5,1.1445066,0.468010846,0.827342993,0.215799281,-0.00078287,0.407866017,-0.390128106,0.559857014,-1.289611978,0.714861563,-0.960789674,0.171366498,-1.288598717,-1.311289582,-1.95213137,-0.891781227,-1.743522886,0.55646149,-0.665588894,-1.172045527,-0.127125081,-0.774276271,1.411012347,0.746961998,-0.632403158,-0.231816089,-0.412375072,-0.095671593,0.832546741,-1.035610883
51.5,1.556217356,-0.289341417,1.08850557,0.133946062,-0.539952369,0.304910014,0.214730439,1.091220738,-0.53387676,0.457133599,-0.555429509,-1.074824935,-0.550919209,-1.33097204,-0.525896486,-1.306474564,-1.002408193,0.427367708,-0.901574232,-1.234672284,0.997882977,-0.571310827,1.313482493,0.526367207,-0.587817953,-1.281723903,0.00992037,-0.211431742,0.086211287,-0.251892005
52.5,0.23488666,0.105546651,1.631034134,-0.352238117,-0.668698869,0.808879859,0.392275416,0.707387091,-0.183592171,-0.44561167,-0.148148727,0.146032523,-0.604816168,-0.589342131,-0.064795537,-0.819674323,-1.738453427,-0.707807621,-1.380782608,-1.414133385,0.068372717,-0.810748936,0.850392597,1.05582202,-0.67735965,-2.685304867,1.223351363,-0.873005168,-0.231722215,-0.559589165
