t_center,z_S_t__20170706_01_02_01,z_S_t__20170706_01_02_02,z_S_t__20170706_01_02_03,z_S_t__20170706_03_04_01,z_S_t__20170706_03_04_02,z_S_t__20170706_03_04_03,z_S_t__20170706_05_06_01,z_S_t__20170706_05_06_02,z_S_t__20170706_05_06_03,z_S_t__20170706_11_12_01,z_S_t__20170706_11_12_02,z_S_t__20170706_11_12_03,z_S_t__20170710_01_02_01,z_S_t__20170710_01_02_02,z_S_t__20170710_01_02_03,z_S_t__20170710_07_08_01,z_S_t__20170710_07_08_02,z_S_t__20170710_07_08_03,z_S_t__20170714_01_02_01,z_S_t__20170714_01_02_02,z_S_t__20170714_01_02_03,z_S_t__20170714_03_04_01,z_S_t__20170714_03_04_02,z_S_t__20170714_03_04_03,z_S_t__20170714_05_06_01,z_S_t__20170714_05_06_02,z_S_t__20170714_05_06_03,z_S_t__20170714_07_08_01,z_S_t__20170714_07_08_02,z_S_t__20170714_07_08_03,
106.5,-0.204050036,0.308799275,-1.954849127,-0.56729373,0.275980347,-0.111100985,-0.661848103,0.934107372,-0.153651509,-1.11445741,0.229380267,-0.144806071,-0.885500204,-1.819057027,-0.405607046,1.850459798,,-1.67455477,-0.127390479,-1.138476806,-1.104775472,-0.374680554,-0.539276709,0.091335622,0.63247873,0.095125565,-0.304683515,0.732322987,-0.890299885,-0.603090511,
107.5,1.138385523,0.280120846,-1.79491624,0.557191043,-0.085424065,-0.744141115,0.45120522,-0.711857686,-0.893353306,-1.190250404,0.087436338,0.109403487,-1.467958036,-2.331800209,0.069259674,1.585579349,,-1.509436867,0.655324592,-0.059063011,-0.038488042,0.629562914,-0.690941308,0.675757077,0.303243746,-0.124316957,0.224147942,1.197709703,-1.046506493,-1.740799634,
108.5,0.371811066,0.717343524,-1.801408776,-0.189181056,-0.111811973,-0.29870795,0.47405482,-2.048589749,-0.615581651,-1.111687368,-1.130709515,-0.131076853,-1.222427769,-1.585746045,-0.594470699,1.852762383,,-0.670802944,0.529711265,-0.089093023,0.919507741,0.981314293,-1.487893804,-1.075291745,-0.671286811,-1.283581962,0.561035716,,-0.334192936,-2.204761075,
109.5,0.140987421,0.851263563,-1.312022547,0.930808251,-0.124117158,-1.456214292,0.449109671,-0.853850766,-0.300753307,-1.289979755,-0.27121814,-0.542489402,-1.296932157,-2.254800257,-0.295787026,1.85936424,,-0.104029362,-0.409727742,0.011321037,1.607203178,0.709359944,-1.699616063,-0.47373829,-1.940790545,-1.36295825,1.109544848,,-0.308966065,-2.452947207,
110.5,-0.11910595,0.270722946,-0.718010781,1.27198076,0.649928817,-1.114685561,0.940499444,-1.491016111,-0.280606186,-1.243932125,0.082420788,-0.331746437,-0.953881881,-0.485287729,-0.626054715,2.055179578,,0.695180468,-0.856786342,0.325490228,1.545090524,1.144880244,-1.002445279,-0.026496299,-0.926378703,-0.929436653,1.379569595,,-1.183331707,-2.544220236,
111.5,0.00016315,-0.464467408,0.057047789,1.491030854,0.44074727,-1.714523791,1.658999817,-0.264685941,-1.261000303,-0.983702826,-0.183866644,0.534793492,-1.558256811,-1.119887074,0.45992548,1.349745751,,0.421181003,-0.580471803,-0.851622801,1.681770016,-0.110409977,-1.149068427,0.486154008,-0.780194706,-1.197176766,0.798314809,,-1.013456585,-1.652654775,
112.5,-0.808425064,-0.514719431,1.127229149,1.211620651,1.333303971,-0.852750875,1.675317599,0.251761648,-1.255025798,-1.001536642,0.571402908,0.676608982,-0.99671943,-0.190630149,0.912722813,1.678847698,,0.376439968,-1.442305012,-1.665895047,1.012631132,-0.940216314,-1.38683712,-0.191439341,-0.280619731,-1.300041631,-1.046015501,,-0.894598941,-0.817281707,
113.5,-0.079107561,-0.19839145,-0.824151437,1.24883474,-0.016112485,-0.244585741,1.271805078,1.08979674,-0.498210479,-0.610095701,0.836849134,0.934242157,-0.516578284,-0.354857641,0.263560184,1.355549936,,0.082387147,-1.388515425,-1.518564625,0.74768945,-0.946562503,-1.378769831,0.852334155,-0.18533464,-0.698127888,-1.303892936,,-1.731117958,-0.129021568,
114.5,-0.926291815,-0.688437676,0.057399013,0.469601743,0.098139757,0.329884693,1.175144176,0.75336513,-0.958834386,-0.033178351,-1.051785286,1.699230777,0.072709411,-1.411017114,0.342920998,1.235744648,,0.096850689,-1.012998347,-1.718406479,0.044176235,-0.663596584,-1.870817853,0.192038083,0.344144304,-0.717242909,-1.750155718,2.552273581,-2.589704048,0.239876183,
115.5,-0.312467719,-0.5103437,0.566114889,-0.662323672,-1.152959199,-0.206105487,0.622207748,1.90357511,-1.874313818,-1.440865944,0.278537018,2.066837424,0.631595307,-1.972350921,0.214678267,,,-0.908855738,-0.653792268,-1.698537185,-0.625785722,-1.025318404,-2.724589555,-0.09542905,-0.067406429,-1.774164559,-1.02639536,1.23690278,-2.319823645,0.577654507,
