pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean_shiftA,null_sd_shiftA,null_skew_shiftA,z_S_shiftA,p_right_shiftA,p_left_shiftA,null_mean_shiftB,null_sd_shiftB,null_skew_shiftB,z_S_shiftB,p_right_shiftB,p_left_shiftB,ks_AB,null_mean_shiftA_ref,null_sd_shiftA_ref,null_skew_shiftA_ref,z_S_shiftA_ref,p_right_shiftA_ref,p_left_shiftA_ref
20170706_11_12_03,visible,0.1,P3,60.0,180.0,119.30000000000001,113,135,1,38.0,0.3064516129032258,0.3085548387096774,0.03754424264473685,0.14852458645550776,-0.05601992897695208,0.5560443955604439,0.5161483851614839,0.3082540322580645,0.03791742905285359,0.1550360008191648,-0.047535378844549246,0.5543445655434457,0.5215478452154785,0.00539999999999996,0.3085104838709677,0.03767320749873295,0.1600935207812203,-0.05465080104504302,0.5594440555944405,0.5186481351864813
20170710_01_02_01,visible,0.1,P1,0.0,20.0,15.0,20,23,1,8.0,0.37209302325581395,0.41506976744186047,0.10234786449574054,-0.14995367105758628,-0.41990855791461196,0.718028197180282,0.39636036396360363,0.42058604651162784,0.09898607846150048,-0.13254719296029752,-0.48989740789332015,0.7694230576942306,0.418958104189581,0.051399999999999973,0.4155116279069767,0.10216647509779986,-0.14345350549690586,-0.4249789826809614,0.7199280071992801,0.39946005399460055
20170710_01_02_01,visible,0.1,P2,20.0,60.0,40.0,60,49,1,18.0,0.3302752293577982,0.40480733944954134,0.0715908619880087,0.16936519356975327,-1.0410841275277158,0.8769123087691231,0.2034796520347965,0.400205504587156,0.06989020793407046,0.09066533763839357,-1.0005732891126198,0.8611138886111389,0.20417958204179582,0.035699999999999954,0.4027045871559633,0.0714625314263776,0.09943315343697369,-1.0135291369125872,0.8661133886611339,0.21227877212278773
20170710_01_02_01,visible,0.1,P3,60.0,180.0,118.0,162,153,1,80.0,0.5079365079365079,0.39763682539682543,0.037080494616298997,0.006633618513559108,2.974601166490359,0.0010998900109989002,0.9993000699930007,0.39936190476190475,0.03747273566472389,0.032799656210879935,2.8974293242436846,0.0016998300169983002,0.9992000799920008,0.021500000000000075,0.3984850793650793,0.037494715138542876,0.0016303683246550018,2.9191161518898285,0.0021997800219978004,0.9991000899910009
20170710_01_02_02,visible,0.1,P1,0.0,20.0,14.3,27,21,1,12.0,0.5,0.4740166666666666,0.09857388240370937,-0.026327387751664363,0.2635924719584308,0.46285371462853714,0.6732326767323268,0.4872958333333333,0.0988922963865269,-0.14329803615448897,0.12846467450823096,0.5492450754924507,0.6428357164283571,0.08640000000000003,0.4744166666666666,0.09889464912862445,0.04844158094276126,0.25869279641266724,0.46905309469053097,0.6783321667833216
20170710_01_02_02,visible,0.1,P2,20.0,60.0,40.0,67,53,1,28.0,0.4666666666666667,0.44068833333333335,0.048731718027616076,-0.18405315795495938,0.5330888050901778,0.37866213378662134,0.7614238576142386,0.44146499999999994,0.048411136516445075,-0.2040679784853216,0.5205758112723883,0.395960403959604,0.7567243275672433,0.017299999999999982,0.4411783333333334,0.049159071422240845,-0.13021445139281282,0.5184868752789682,0.37266273372662734,0.7523247675232477
20170710_01_02_02,visible,0.1,P3,60.0,180.0,117.5,180,159,1,80.0,0.471976401179941,0.42579351032448376,0.03904650860698181,0.0546371274088045,1.1827662063286084,0.12818718128187181,0.8981101889811018,0.426589970501475,0.03917126875425783,0.07806685697460586,1.1586663419864993,0.13458654134586542,0.8918108189181082,0.010099999999999998,0.42572271386430677,0.03893436792050844,0.03355936970643288,1.1879912217932882,0.1264873512648735,0.9033096690330967
20170710_01_02_03,visible,0.1,P1,0.0,20.0,14.8,24,22,1,12.0,0.5217391304347826,0.4505260869565218,0.10344125776982233,-0.20521773347467415,0.6884394584289006,0.32496750324967505,0.7798220177982201,0.4572217391304348,0.1002253809624559,-0.20808916232904193,0.643723083761745,0.35036496350364965,0.786021397860214,0.04680000000000001,0.4507782608695652,0.10340987219025476,-0.19407484816549173,0.6862098179046457,0.32366763323667636,0.7808219178082192
20170710_01_02_03,visible,0.1,P2,20.0,60.0,40.0,69,54,1,27.0,0.43902439024390244,0.45492032520325204,0.05952427427247297,-0.08701599878672643,-0.26704962225302903,0.6443355664433557,0.46035396460353967,0.449730081300813,0.059652097553694654,-0.07181344863488448,-0.1794688115916466,0.6152384761523848,0.48305169483051696,0.049000000000000044,0.4547707317073171,0.05842965099230473,-0.06085274834630631,-0.2694923073473167,0.6485351464853515,0.4617538246175382
20170710_01_02_03,visible,0.1,P3,60.0,180.0,119.5,198,172,1,92.0,0.4972972972972973,0.4609864864864865,0.03482039627736546,-0.0694335588760397,1.0428029170481956,0.1680831916808319,0.8688131186881312,0.46045675675675685,0.035053987478953066,0.004075884938535332,1.0509657585363172,0.16198380161983802,0.8761123887611239,0.019500000000000017,0.46036054054054054,0.03533208153555471,-0.015829486467414115,1.0454169454915154,0.1705829417058294,0.8685131486851315
