variable,rhat,ess_bulk,ess_tail,condition,block,is_imputed,is_lp
y_mis[197],1.0000381393228872,38684.69569164858,13834.834008028738,visible_pair,y_mis,TRUE,FALSE
y_mis[198],1.0005165159229492,32820.63251303813,13960.422517766387,visible_pair,y_mis,TRUE,FALSE
y_mis[199],0.9999794156957372,31947.145874154976,11610.279984532986,visible_pair,y_mis,TRUE,FALSE
y_mis[200],1.0001987874286278,33466.55996335734,14676.538376878603,visible_pair,y_mis,TRUE,FALSE
y_mis[201],1.0000810256159576,30903.277983563465,12043.309198010646,visible_pair,y_mis,TRUE,FALSE
y_mis[202],1.000152736251671,29699.935501197026,14211.201246052366,visible_pair,y_mis,TRUE,FALSE
y_mis[203],1.0005076609015737,33994.667697665354,13756.025383359383,visible_pair,y_mis,TRUE,FALSE
y_mis[204],1.0005816659062596,30713.927678846896,14539.286649501471,visible_pair,y_mis,TRUE,FALSE
y_mis[205],1.0000040762145102,33377.579981443705,12056.562278946825,visible_pair,y_mis,TRUE,FALSE
y_mis[206],1.0005468716005437,32365.484436968753,11590.89473678323,visible_pair,y_mis,TRUE,FALSE
y_mis[207],1.000393745334674,34747.413009372634,14160.59106367019,visible_pair,y_mis,TRUE,FALSE
y_mis[208],1.000080610564204,34005.46914188785,12633.522781056476,visible_pair,y_mis,TRUE,FALSE
y_mis[209],1.00038096153738,34748.20341080383,12542.972750754176,visible_pair,y_mis,TRUE,FALSE
y_mis[210],1.000278178064658,35982.61811033432,13354.582360557848,visible_pair,y_mis,TRUE,FALSE
y_mis[211],0.9999433204495242,38376.737434102055,13801.05836145703,visible_pair,y_mis,TRUE,FALSE
y_mis[212],1.0001740486851374,32457.03919132006,14529.56961515339,visible_pair,y_mis,TRUE,FALSE
y_mis[213],1.0000584917727682,29772.709539932483,12662.8152114621,visible_pair,y_mis,TRUE,FALSE
y_mis[214],1.0000862514457967,33877.92563817675,13892.662168699366,visible_pair,y_mis,TRUE,FALSE
y_mis[215],1.0001978737053154,36870.559892780766,13234.155703570535,visible_pair,y_mis,TRUE,FALSE
y_mis[216],1.0003256848829507,32324.63152891249,11390.971317520429,visible_pair,y_mis,TRUE,FALSE
y_mis[217],1.0001854448353185,32534.173871566672,11096.660300387653,visible_pair,y_mis,TRUE,FALSE
y_mis[218],1.000268300657486,33707.84476000796,14254.522845761194,visible_pair,y_mis,TRUE,FALSE
y_mis[219],0.9999304880657899,34587.95749198469,13633.136909146724,visible_pair,y_mis,TRUE,FALSE
y_mis[220],1.0002470010908564,34679.45740552472,11725.518371036816,visible_pair,y_mis,TRUE,FALSE
y_mis[221],1.0003304170347092,34612.131677262034,13803.632087066502,visible_pair,y_mis,TRUE,FALSE
y_mis[222],1.0000315211712696,32683.14057326272,12741.215206574934,visible_pair,y_mis,TRUE,FALSE
y_mis[223],1.0002588485816666,34614.81791021727,13324.730398106853,visible_pair,y_mis,TRUE,FALSE
y_mis[224],1.0004322952694291,37797.929777047444,13494.196306637723,visible_pair,y_mis,TRUE,FALSE
y_mis[225],1.000213725402479,31111.598357728766,12860.314442717348,visible_pair,y_mis,TRUE,FALSE
y_mis[226],1.0005911513613892,36187.55337458014,13493.544072998217,visible_pair,y_mis,TRUE,FALSE
y_mis[227],1.0002744625680302,33546.69590584138,13255.089966087362,visible_pair,y_mis,TRUE,FALSE
y_mis[228],1.0002113301599325,36092.03762885605,14439.288074136874,visible_pair,y_mis,TRUE,FALSE
y_mis[229],0.9999393969150959,30607.36192192265,12662.578037964178,visible_pair,y_mis,TRUE,FALSE
y_mis[230],1.0009996544418662,31750.489060579093,13152.20842906908,visible_pair,y_mis,TRUE,FALSE
y_mis[231],1.0002090457273463,36803.33191789783,14381.523000090376,visible_pair,y_mis,TRUE,FALSE
y_mis[232],0.9999508949482938,34016.9388240367,14057.565689817417,visible_pair,y_mis,TRUE,FALSE
y_mis[233],1.0000528966747664,33810.612456883915,14034.442902799436,visible_pair,y_mis,TRUE,FALSE
y_mis[234],1.0001097491512512,33818.82915772005,14165.669667813107,visible_pair,y_mis,TRUE,FALSE
y_mis[235],1.0004056102115635,35918.66878915856,12760.701795213132,visible_pair,y_mis,TRUE,FALSE
y_mis[236],1.000334018305601,31594.9320605062,11152.003565203706,visible_pair,y_mis,TRUE,FALSE
y_mis[237],1.0001634592976758,28498.052563773595,12923.594907533241,visible_pair,y_mis,TRUE,FALSE
y_mis[238],1.0001893701997615,30578.347051448403,13761.026937107903,visible_pair,y_mis,TRUE,FALSE
y_mis[239],1.0008216854072185,31817.120046045282,13876.72494900238,visible_pair,y_mis,TRUE,FALSE
y_mis[240],1.0003017528962037,31988.922983839628,13284.122451380832,visible_pair,y_mis,TRUE,FALSE
y_mis[241],1.000322258848426,24622.420651638757,11589.796351467998,visible_pair,y_mis,TRUE,FALSE
y_mis[242],1.00024994072831,35308.37783780128,13424.962560543232,visible_pair,y_mis,TRUE,FALSE
y_mis[243],1.0005327707044023,30315.548268575345,12263.340742066464,visible_pair,y_mis,TRUE,FALSE
y_mis[244],1.0001377153848676,32652.73515419942,13964.830714072788,visible_pair,y_mis,TRUE,FALSE
y_mis[245],1.0004802398305588,32240.30009059118,13207.812977486761,visible_pair,y_mis,TRUE,FALSE
y_mis[246],1.0003523501722662,39701.23565910194,13408.81791971282,visible_pair,y_mis,TRUE,FALSE
y_mis[247],1.0004124660908704,34509.14501590143,14179.764537981924,visible_pair,y_mis,TRUE,FALSE
y_mis[248],1.0009155441262978,38405.16383024016,13557.305705343833,visible_pair,y_mis,TRUE,FALSE
y_mis[249],1.0002841945808683,30575.750991276323,12057.822039278584,visible_pair,y_mis,TRUE,FALSE
y_mis[250],1.0006240422868466,39036.29759758335,13996.771058594566,visible_pair,y_mis,TRUE,FALSE
y_mis[251],1.0001733529570405,36781.49894663409,12250.37622296915,visible_pair,y_mis,TRUE,FALSE
y_mis[252],1.0011760585582272,35734.050345035044,13145.42135338534,visible_pair,y_mis,TRUE,FALSE
y_mis[253],0.9999079028175475,36672.755959774084,12753.217603958834,visible_pair,y_mis,TRUE,FALSE
y_mis[254],0.9999427230165603,34463.11839917742,12405.617198996666,visible_pair,y_mis,TRUE,FALSE
y_mis[255],1.000402698972173,30021.911742054894,13397.837399951131,visible_pair,y_mis,TRUE,FALSE
y_mis[256],1.0002360387904887,38466.11604241725,14430.038936852905,visible_pair,y_mis,TRUE,FALSE
y_mis[257],1.0002063484650587,36376.6127727198,14531.349038178485,visible_pair,y_mis,TRUE,FALSE
y_mis[258],1.0001812432279664,35651.87393069978,13677.316530377182,visible_pair,y_mis,TRUE,FALSE
y_mis[259],1.0003619912414123,34951.56618586847,13554.041390029412,visible_pair,y_mis,TRUE,FALSE
y_mis[260],1.0000791333478418,32170.104136094586,11898.287218594054,visible_pair,y_mis,TRUE,FALSE
y_mis[261],1.0001456636030486,31294.461502248618,13325.365591800408,visible_pair,y_mis,TRUE,FALSE
