t_center,n_valid,coverage,mean_zS_pooled,kept_for_changepoint,mean_zS_visible,sem_zS_visible,mean_zS_invisible,sem_zS_invisible
122.5,58,0.9666666666666667,0.01417050976475251,True,0.27029129587610956,0.24462362844156485,-0.224875557272514,0.1808334809342036
123.5,58,0.9666666666666667,0.061977502374417286,True,0.35188047525008503,0.23409936407353185,-0.20859860564287275,0.17395528469312305
124.5,58,0.9666666666666667,0.056366439925017095,True,0.2896189315352046,0.2217844631302832,-0.16133588557782463,0.2006577928072379
125.5,58,0.9666666666666667,-0.008508170728273041,True,0.17789657512503543,0.2218934402904924,-0.18248593352469425,0.2005581982510218
126.5,59,0.9833333333333333,-0.0879582539103081,True,0.08254691493228004,0.22808136468019916,-0.25277991712481007,0.18522754053779525
127.5,59,0.9833333333333333,-0.02744041266402513,True,0.16978709483943613,0.21508248710619665,-0.218093669917371,0.18617925845928068
128.5,59,0.9833333333333333,-0.11667884669934198,True,0.017323082561768066,0.20542817409075573,-0.24621404498508162,0.15244929893624357
129.5,59,0.9833333333333333,-0.1477575215529515,True,0.001809967072543152,0.2020498477589828,-0.29233942722426304,0.17374165575784262
130.5,59,0.9833333333333333,-0.11559729591129275,True,-0.012023415870630792,0.18227937920897225,-0.21571871328393258,0.18227378473750316
131.5,59,0.9833333333333333,-0.06529804254588242,True,0.20260673826236705,0.18311377258330166,-0.32427266399385696,0.1956918258028777
132.5,59,0.9833333333333333,-0.12261925985724623,True,-0.001564650461061747,0.1823357156946645,-0.23963871560689123,0.17988166843363976
133.5,59,0.9833333333333333,-0.10213624437778517,True,0.014582351576259396,0.16948707455755813,-0.2149642204666949,0.19484705510916223
134.5,58,0.9666666666666667,-0.014297847882841446,True,0.07228441444877524,0.16764306639119858,-0.09510795939235041,0.2100161730502296
135.5,58,0.9666666666666667,0.04936587947286368,True,0.04275057343253495,0.17320474497075708,0.055540165110503775,0.19842604704910005
136.5,58,0.9666666666666667,0.035390372119068425,True,-0.13994662990171247,0.18568473145199357,0.19903824067179726,0.19062896907089252
137.5,58,0.9666666666666667,0.09288460219825104,True,-0.0758666980418994,0.19928845660540842,0.25038581575572477,0.19488117623866877
138.5,58,0.9666666666666667,0.13324567435228765,True,0.0392063101798723,0.1756111514251493,0.22101574757987535,0.17962408910399805
139.5,57,0.95,0.231838307987057,True,0.15315262494506104,0.19313571492738996,0.30265542272485335,0.17336393987533674
140.5,57,0.95,0.26330946945963385,True,0.216963566047008,0.18789066219287953,0.3050207825309972,0.1911209278279155
141.5,57,0.95,0.24045014947284624,True,0.23825372096755176,0.18664472355326434,0.24242693512761132,0.20290480654627926
142.5,57,0.95,0.12227740752536226,True,0.19506095602986215,0.18531620901690737,0.05677221387131231,0.19932370230684554
143.5,57,0.95,0.14287612141457712,True,0.13415153029316637,0.18493463953036804,0.15072825342384683,0.191024306117523
144.5,56,0.9333333333333333,0.07780334242224493,True,0.07743934254106384,0.2080846481703396,0.07814223886334451,0.1885580320683112
145.5,57,0.95,0.04353222410456116,True,-0.028150517180582216,0.2580607318937076,0.10804669126119024,0.18804863468979974
146.5,57,0.95,-0.05292310437188261,True,-0.08954469138353235,0.22848968784260196,-0.019963676061397886,0.17294244188292182
147.5,57,0.95,-0.07744931452697941,True,-0.10098893604992502,0.22315106907343482,-0.05626365515632834,0.15068689282213868
148.5,56,0.9333333333333333,-0.1398372623741784,True,-0.06425202556943423,0.21407543363295403,-0.20534446760495667,0.17102425776550434
149.5,56,0.9333333333333333,-0.2269672817488569,True,-0.13703471857583732,0.2237864726148369,-0.3049088364988073,0.15838908588924996
150.5,56,0.9333333333333333,-0.2876157324663976,True,-0.07434237914791761,0.20158227088826464,-0.472452638675747,0.16948939440521732
151.5,56,0.9333333333333333,-0.13188296914528447,True,0.02199461370025037,0.23194351385837478,-0.26524354094474806,0.18551591482256471
152.5,57,0.95,-0.09046521336730338,True,0.0929144027403165,0.21676665388510696,-0.25550686786416127,0.17006176036872186
153.5,57,0.95,-0.09873591786809374,True,0.07511095590004471,0.18669651941989573,-0.25519810425941825,0.15594414605674606
154.5,57,0.95,-0.04917598430295092,True,0.07643732363477217,0.18707536025304525,-0.1622279614469017,0.17258832460365928
155.5,57,0.95,0.05740033039138355,True,0.07873517231142665,0.1749401022560253,0.03819897266334476,0.1966197508622603
156.5,57,0.95,-0.03328348078371153,True,0.06722747848509221,0.1969259031550523,-0.12374334412563487,0.1982026528713244
157.5,57,0.95,0.023392826960798484,True,0.19033760022332422,0.2246667401400304,-0.12685746897547462,0.19455302403577893
158.5,57,0.95,-0.016580598449761424,True,0.10894973431206902,0.2596035031014401,-0.12955789793540887,0.18270860581936518
159.5,57,0.95,0.010130791977531068,True,0.07616713516385704,0.26229449304670666,-0.04930191689016234,0.18394384857002458
160.5,57,0.95,-0.08150117712342567,True,0.0047350922904930495,0.25969547282970173,-0.1591138195959525,0.19035607348592734
161.5,57,0.95,-0.11895438176803379,True,0.012831409347647519,0.23184410229390437,-0.23756159377214697,0.1687270387436318
162.5,57,0.95,-0.1880735385853141,True,-0.07463994103367923,0.21353237810389372,-0.2901637763817853,0.15397860019626
163.5,57,0.95,-0.27713467755548704,True,-0.1098285638761723,0.17887295098077438,-0.4277101798668703,0.17979024164754578
164.5,57,0.95,-0.27820560756631496,True,-0.06852321258414083,0.1281432592159132,-0.4669197630502718,0.17156796818561232
165.5,57,0.95,-0.2089750674187894,True,-0.10735549559406066,0.1412315845420389,-0.3004326820610453,0.17713802950715002
166.5,57,0.95,-0.28254370386639865,True,-0.20814917675566139,0.1702220903742873,-0.3494987782660623,0.18177900560422836
167.5,57,0.95,-0.2694509559818622,True,-0.13827334700443775,0.18110234438611988,-0.38751080406154415,0.17707370240181053
168.5,57,0.95,-0.1984359380923953,True,-0.09103976643280948,0.190709921075755,-0.2950924925860225,0.1702966484335951
169.5,56,0.9333333333333333,-0.2775134162903199,True,-0.1470129447216297,0.21457124665227842,-0.3906138249831847,0.16859232531259016
170.5,57,0.95,-0.2706014514172952,True,-0.23413820183001444,0.2074264936491966,-0.30341837604584787,0.18380407676542102
171.5,57,0.95,-0.2100318482391253,True,-0.14577821969840432,0.17522531010757972,-0.2678601139257742,0.1950218583841982
172.5,56,0.9333333333333333,-0.2823799901615504,True,-0.3016036391762374,0.1681026333878411,-0.2644821100444281,0.2135564028733147
173.5,56,0.9333333333333333,-0.28916765723431936,True,-0.23719763268992924,0.1545450096389206,-0.3375535421549584,0.19231753383021463
174.5,56,0.9333333333333333,-0.2129120290926428,True,-0.0898367846999289,0.14938181165199388,-0.32749932559620415,0.17512352718290114
175.5,54,0.9,-0.10126183409991261,True,0.1744407289014312,0.18201359760571592,-0.3389364573769331,0.15894501149294654
176.5,42,0.7,-0.030315381844612296,True,0.051245373568175004,0.22387944286428563,-0.10446152312896441,0.16974713413351922
