delta,condition,dyad_id,session,pair_id,z_S,p_S,p_holm_within_dyad,p_bh_within_family
0.3,invisible,20170707_11_12,3,20170707_11_12_03,0.6729610501819397,0.3034696530346965,0.9104089591040894,0.9617658923762797
0.3,invisible,20170710_13_14,1,20170710_13_14_01,-0.8110989470433504,0.8293170682931706,1.0,0.9617658923762797
0.3,invisible,20170710_13_14,2,20170710_13_14_02,-0.7032284357127748,0.8134186581341866,1.0,0.9617658923762797
0.3,invisible,20170710_13_14,3,20170710_13_14_03,-0.7572397618761242,0.8344165583441656,1.0,0.9617658923762797
0.3,invisible,20170710_15_16,1,20170710_15_16_01,-0.9481941979052612,0.8579142085791421,1.0,0.9617658923762797
0.3,invisible,20170710_15_16,2,20170710_15_16_02,-0.6387516089320703,0.7806219378062194,1.0,0.9617658923762797
0.3,invisible,20170710_15_16,3,20170710_15_16_03,-0.0916598714959264,0.5962403759624038,1.0,0.9617658923762797
0.3,visible,20170706_01_02,1,20170706_01_02_01,-1.1750573108408904,0.9076092390760924,1.0,0.9502049795020496
0.3,visible,20170706_01_02,2,20170706_01_02_02,-0.3221857054208827,0.674932506749325,1.0,0.9203625092036251
0.3,visible,20170706_01_02,3,20170706_01_02_03,0.7521769089731725,0.264973502649735,0.794920507949205,0.9056786629029403
0.3,visible,20170706_03_04,1,20170706_03_04_01,0.4269937095659277,0.3684631536846315,0.6675332466753324,0.9056786629029403
0.3,visible,20170706_03_04,2,20170706_03_04_02,1.303571605529885,0.1166883311668833,0.3500649935006499,0.8751624837516248
0.3,visible,20170706_03_04,3,20170706_03_04_03,0.5702382735301864,0.3337666233376662,0.6675332466753324,0.9056786629029403
0.3,visible,20170706_05_06,1,20170706_05_06_01,0.9554358103860552,0.1838816118388161,0.5516448355164483,0.9056786629029403
0.3,visible,20170706_05_06,2,20170706_05_06_02,-0.1485911193572921,0.6197380261973803,1.0,0.9114802805433742
0.3,visible,20170706_05_06,3,20170706_05_06_03,-0.0590338765643373,0.5878412158784122,1.0,0.9114802805433742
0.3,visible,20170706_11_12,1,20170706_11_12_01,0.4702728091307244,0.3597640235976402,0.7195280471952804,0.9056786629029403
0.3,visible,20170706_11_12,2,20170706_11_12_02,2.164554075364326,0.0226977302269773,0.0680931906809319,0.680931906809319
0.3,visible,20170706_11_12,3,20170706_11_12_03,0.1078167651344898,0.4982501749825017,0.7195280471952804,0.9114802805433742
