pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,isi,,34.0,0.5714285714285714,0.4427764705882353,0.0683620370480228,1.8819231608028413,0.0392960703929607,0.9786021397860214
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,circ,,34.0,0.5714285714285714,0.4422890756302521,0.0686675197309066,1.8806489051066553,0.0406959304069593,0.9777022297770224
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,jitter,0.35,89.0,0.4917127071823204,0.4212486187845304,0.0301952130715464,2.333617856275034,0.0113988601139886,0.9935006499350064
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,jitter,0.2,89.0,0.4917127071823204,0.4427872928176795,0.0311895979965801,1.5686452377489928,0.0680931906809319,0.9507049295070492
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,jitter,0.5,89.0,0.4917127071823204,0.4016104972375691,0.0292760004971417,3.077681664664135,0.0013998600139986,0.9992000799920008
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,isi,,89.0,0.4917127071823204,0.4548154696132597,0.0382570928214667,0.9644548199532056,0.1866813318668133,0.8505149485051495
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.8,181,181,1,circ,,89.0,0.4917127071823204,0.453306629834254,0.0373179412574021,1.0291585241307604,0.1698830116988301,0.8561143885611439
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,jitter,0.35,20.0,0.7272727272727273,0.42048,0.0790779815379816,3.8796226371227336,9.999000099990002e-05,1.0
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,jitter,0.2,20.0,0.7272727272727273,0.4939963636363636,0.0855306834858131,2.7273997369032705,0.0050994900509949,0.9988001199880012
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,jitter,0.5,20.0,0.7272727272727273,0.4298327272727272,0.0715960338081443,4.154420073003614,9.999000099990002e-05,1.0
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,isi,,20.0,0.7272727272727273,0.5170727272727274,0.1239028184263049,1.6964908681639304,0.058994100589941,0.9737026297370264
20170707_01_02_01,invisible,0.1,P1,0.0,20.0,16.1,27,28,1,circ,,20.0,0.7272727272727273,0.4976254545454545,0.1261062836997814,1.8210612983726415,0.0606939306069393,0.9755024497550244
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,jitter,0.35,24.0,0.3902439024390244,0.411809756097561,0.0497788500148243,-0.4332332637679294,0.7271272872712728,0.394960503949605
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,jitter,0.2,24.0,0.3902439024390244,0.4182634146341464,0.0506517822966617,-0.5531791957687668,0.7616238376162384,0.3490650934906509
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,jitter,0.5,24.0,0.3902439024390244,0.3974536585365854,0.0492189312179342,-0.1464833940752843,0.6258374162583742,0.5087491250874913
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,isi,,24.0,0.3902439024390244,0.4678926829268293,0.0633292561535027,-1.226112308971279,0.907909209079092,0.1406859314068593
20170707_01_02_01,invisible,0.1,P2,20.0,60.0,40.0,64,59,1,circ,,24.0,0.3902439024390244,0.4602569105691057,0.0639180179258984,-1.095356370581594,0.8915108489151085,0.1772822717728227
20170707_01_02_01,invisible,0.1,P3,60.0,180.0,118.7,152,158,1,jitter,0.35,61.0,0.3935483870967742,0.3757322580645161,0.0321930361849279,0.5534156185181172,0.3243675632436756,0.7463253674632536
