pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,jitter,0.35,19.0,0.6229508196721312,0.4761803278688524,0.07682350465644594,1.91048940632994,0.0453954604539546,0.9847015298470153
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,jitter,0.2,19.0,0.6229508196721312,0.5064754098360655,0.08074532046982866,1.4425035303388003,0.1040895910408959,0.953004699530047
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,jitter,0.5,19.0,0.6229508196721312,0.4787672131147541,0.07011160540695353,2.056487021235392,0.030896910308969103,0.9904009599040096
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,isi,,19.0,0.6229508196721312,0.586767213114754,0.09463490233881598,0.38234948906938226,0.43005699430056993,0.7044295570442956
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,circ,,19.0,0.6229508196721312,0.5355508196721311,0.11520463383424437,0.7586500394224641,0.29227077292270776,0.8198180181981802
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,jitter,0.35,34.0,0.5714285714285714,0.3967932773109244,0.053634499091514465,3.25602545144821,0.0006999300069993001,0.9997000299970003
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,jitter,0.2,34.0,0.5714285714285714,0.44947394957983194,0.05456432481380534,2.2350615033704893,0.0170982901709829,0.9934006599340066
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,jitter,0.5,34.0,0.5714285714285714,0.38965546218487396,0.049710793007633015,3.656612543191304,0.0004999500049995,0.9998000199980002
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,isi,,34.0,0.5714285714285714,0.4427764705882353,0.06836203704802284,1.8819231608028413,0.0392960703929607,0.9786021397860214
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,circ,,34.0,0.5714285714285714,0.44228907563025216,0.06866751973090665,1.8806489051066553,0.040695930406959305,0.9777022297770223
20170705_03_04_03,invisible,0.1,P3,60.0,180.0,118.80000000000001,181,181,1,jitter,0.35,89.0,0.49171270718232046,0.4212486187845304,0.030195213071546437,2.3336178562750334,0.011398860113988602,0.9935006499350065
