pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170710_01_02_01,visible,0.2,P1,0.0,20.0,15.0,20,23,1,circ,,15.0,0.6976744186046512,0.6817116279069769,0.06482005680157989,0.24626313961028784,0.5629437056294371,0.7230276972302769
20170710_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,49,1,jitter,0.35,31.0,0.5688073394495413,0.5603522935779817,0.04229823365677668,0.199891228086898,0.5129487051294871,0.658934106589341
20170710_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,49,1,jitter,0.5,31.0,0.5688073394495413,0.5431155963302754,0.04278017580512764,0.6005525371447048,0.3487651234876512,0.7921207879212079
20170710_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,49,1,isi,,31.0,0.5688073394495413,0.6387724770642202,0.04858287855331806,-1.440119229203238,0.944905509449055,0.10648935106489352
20170710_01_02_01,visible,0.2,P2,20.0,60.0,40.0,60,49,1,circ,,31.0,0.5688073394495413,0.652754128440367,0.04802590649298221,-1.7479480372347032,0.975002499750025,0.065993400659934
20170710_01_02_01,visible,0.2,P3,60.0,180.0,118.0,162,153,1,jitter,0.35,105.0,0.6666666666666666,0.5919942857142856,0.02588763332672134,2.88448078702134,0.0022997700229977,0.9989001099890011
20170710_01_02_01,visible,0.2,P3,60.0,180.0,118.0,162,153,1,jitter,0.5,105.0,0.6666666666666666,0.5440203174603174,0.025803481913665636,4.7530929979413035,9.999000099990002e-05,1.0
20170710_01_02_01,visible,0.2,P3,60.0,180.0,118.0,162,153,1,isi,,105.0,0.6666666666666666,0.6313371428571428,0.02888527615452279,1.223098010921803,0.13358664133586642,0.9104089591040896
20170710_01_02_01,visible,0.2,P3,60.0,180.0,118.0,162,153,1,circ,,105.0,0.6666666666666666,0.6329771428571428,0.028377188309061593,1.1872044348652355,0.1531846815318468,0.8974102589741025
20170710_01_02_02,visible,0.2,P1,0.0,20.0,14.3,27,21,1,jitter,0.35,18.0,0.75,0.6450916666666667,0.060142936068523965,1.7443167924792657,0.0720927907209279,0.9884011598840116
20170710_01_02_02,visible,0.2,P1,0.0,20.0,14.3,27,21,1,jitter,0.5,18.0,0.75,0.6073708333333334,0.06239311166938526,2.285976173498831,0.019098090190980903,0.9981001899810019
20170710_01_02_02,visible,0.2,P1,0.0,20.0,14.3,27,21,1,isi,,18.0,0.75,0.7153625,0.04770735819856264,0.7260410407936521,0.4106589341065893,0.8938106189381062
20170710_01_02_02,visible,0.2,P1,0.0,20.0,14.3,27,21,1,circ,,18.0,0.75,0.7409083333333333,0.050258606460066975,0.18089770702039884,0.5891410858914109,0.708929107089291
20170710_01_02_02,visible,0.2,P2,20.0,60.0,40.0,67,53,1,jitter,0.35,42.0,0.7,0.6168833333333333,0.038575203235115464,2.154665684068374,0.021997800219978002,0.9943005699430058
20170710_01_02_02,visible,0.2,P2,20.0,60.0,40.0,67,53,1,jitter,0.5,42.0,0.7,0.57655,0.0408491524295708,3.022094527244932,0.0015998400159984002,0.9998000199980002
20170710_01_02_02,visible,0.2,P2,20.0,60.0,40.0,67,53,1,isi,,42.0,0.7,0.6769416666666668,0.03541138853971272,0.6511558649408512,0.3388661133886611,0.8117188281171883
20170710_01_02_02,visible,0.2,P2,20.0,60.0,40.0,67,53,1,circ,,42.0,0.7,0.66991,0.03653237263460889,0.8236530460519347,0.2675732426757324,0.8592140785921408
20170710_01_02_02,visible,0.2,P3,60.0,180.0,117.5,180,159,1,jitter,0.35,126.0,0.7433628318584071,0.6314991150442478,0.02346803991079473,4.766640811902859,9.999000099990002e-05,1.0
20170710_01_02_02,visible,0.2,P3,60.0,180.0,117.5,180,159,1,jitter,0.5,126.0,0.7433628318584071,0.5834141592920354,0.02494780130951827,6.411333431028524,9.999000099990002e-05,1.0
