a_id,b_id,is_real,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,n_matched,S,z_S,p_right,p_left,sufficient
20170710_13_14_03,20170710_13_14_03,1,invisible,0.1,P3,60.0,180.0,115.7,156,210,73,0.3989071038251366,-2.0558739863076827,0.9808019198080192,0.026997300269973004,1
20170710_15_16_01,20170710_15_16_01,1,invisible,0.1,P1,0.0,20.0,20.0,21,25,9,0.391304347826087,0.49763486366301996,0.40775922407759224,0.7315268473152685,1
20170710_15_16_01,20170710_15_16_01,1,invisible,0.1,P2,20.0,60.0,39.99999999999999,39,45,10,0.23809523809523808,-0.9783422118429563,0.8621137886211379,0.23447655234476553,1
20170710_15_16_01,20170710_15_16_01,1,invisible,0.1,P3,60.0,180.0,111.30000000000001,97,114,23,0.21800947867298578,-1.3717191373360553,0.9293070692930707,0.09209079092090791,1
20170710_15_16_02,20170710_15_16_02,1,invisible,0.1,P1,0.0,20.0,20.0,22,26,10,0.4166666666666667,0.6326326746933099,0.3133686631336866,0.7907209279072093,1
20170710_15_16_02,20170710_15_16_02,1,invisible,0.1,P2,20.0,60.0,40.0,43,48,14,0.3076923076923077,-0.40889657978946614,0.6746325367463254,0.406959304069593,1
20170710_15_16_02,20170710_15_16_02,1,invisible,0.1,P3,60.0,180.0,113.7,104,122,30,0.26548672566371684,-0.7018571868482983,0.7928207179282072,0.2686731326867313,1
20170710_15_16_03,20170710_15_16_03,1,invisible,0.1,P1,0.0,20.0,20.0,21,21,7,0.3333333333333333,0.26330899397450114,0.43015698430156984,0.6847315268473153,1
20170710_15_16_03,20170710_15_16_03,1,invisible,0.1,P2,20.0,60.0,40.0,35,45,15,0.375,1.1737530410665262,0.1563843615638436,0.9152084791520848,1
20170710_15_16_03,20170710_15_16_03,1,invisible,0.1,P3,60.0,180.0,111.89999999999999,97,116,27,0.2535211267605634,-0.6827692188914681,0.7738226177382261,0.285971402859714,1
20170705_01_02_01,20170705_01_02_03,0,invisible,0.1,P1,0.0,20.0,20.0,29,29,11,0.3793103448275862,-0.5126908306184446,0.7561243875612439,0.33966603339666035,1
20170705_01_02_01,20170705_01_02_03,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,56,22,0.39285714285714285,-0.247195766266114,0.6014398560143985,0.45485451454854514,1
20170705_01_02_01,20170705_01_02_03,0,invisible,0.1,P3,60.0,180.0,109.6,125,137,63,0.48091603053435117,2.6400312968429547,0.004199580041995801,0.9967003299670033,1
20170705_01_02_01,20170705_03_04_02,0,invisible,0.1,P1,0.0,20.0,20.0,29,29,10,0.3448275862068966,-0.7649711818856296,0.7892210778922107,0.31126887311268875,1
20170705_01_02_01,20170705_03_04_02,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,54,20,0.36363636363636365,-0.6067611295020617,0.7845215478452154,0.2976702329767023,1
20170705_01_02_01,20170705_03_04_02,0,invisible,0.1,P3,60.0,180.0,109.6,125,155,56,0.4,0.5359683199619049,0.32226777322267774,0.7317268273172682,1
20170705_01_02_01,20170707_01_02_01,0,invisible,0.1,P1,0.0,20.0,20.0,29,32,15,0.4918032786885246,0.35147952994321635,0.43555644435556445,0.6666333366663334,1
20170705_01_02_01,20170707_01_02_01,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,60,21,0.3620689655172414,-0.9094590677512033,0.8471152884711529,0.20277972202779723,1
20170705_01_02_01,20170707_01_02_01,0,invisible,0.1,P3,60.0,180.0,109.6,125,144,40,0.29739776951672864,-1.4969890669427801,0.9381061893810619,0.08249175082491751,1
20170705_01_02_01,20170707_03_04_02,0,invisible,0.1,P1,0.0,20.0,20.0,29,25,16,0.5925925925925926,2.012375215617978,0.026497350264973504,0.9905009499050095,1
20170705_01_02_01,20170707_03_04_02,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,49,21,0.4,0.138793526993484,0.47425257474252575,0.6199380061993801,1
20170705_01_02_01,20170707_03_04_02,0,invisible,0.1,P3,60.0,180.0,109.6,125,116,38,0.3153526970954357,-0.2927612213498933,0.6418358164183582,0.43515648435156484,1
20170705_01_02_01,20170707_05_06_01,0,invisible,0.1,P1,0.0,20.0,20.0,29,20,9,0.3673469387755102,0.23604970331110509,0.48475152484751527,0.635036496350365,1
20170705_01_02_01,20170707_05_06_01,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,38,16,0.3404255319148936,0.12859833334619894,0.5093490650934906,0.6335366463353664,1
20170705_01_02_01,20170707_05_06_01,0,invisible,0.1,P3,60.0,180.0,109.6,125,107,32,0.27586206896551724,-0.8621531369268105,0.8381161883811619,0.22287771222877711,1
20170705_01_02_01,20170707_05_06_02,0,invisible,0.1,P1,0.0,20.0,20.0,29,22,10,0.39215686274509803,0.22605622947862816,0.5284471552844715,0.6721327867213278,1
20170705_01_02_01,20170707_05_06_02,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,42,13,0.2653061224489796,-1.4163095558236527,0.9439056094390561,0.0826917308269173,1
20170705_01_02_01,20170707_05_06_02,0,invisible,0.1,P3,60.0,180.0,109.6,125,113,42,0.35294117647058826,0.6233632237823868,0.29177082291770823,0.7572242775722428,1
20170705_01_02_01,20170707_05_06_03,0,invisible,0.1,P1,0.0,20.0,20.0,29,25,13,0.48148148148148145,1.1141320060054434,0.2096790320967903,0.9083091690830917,1
20170705_01_02_01,20170707_05_06_03,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,46,17,0.3333333333333333,-0.572057321092634,0.7581241875812419,0.31516848315168483,1
20170705_01_02_01,20170707_05_06_03,0,invisible,0.1,P3,60.0,180.0,109.6,125,118,40,0.3292181069958848,-0.04641247957214213,0.5508449155084492,0.5130486951304869,1
20170705_01_02_01,20170707_09_10_01,0,invisible,0.1,P1,0.0,20.0,20.0,29,24,12,0.4528301886792453,0.6319544335171261,0.34006599340065996,0.7891210878912108,1
20170705_01_02_01,20170707_09_10_01,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,49,22,0.41904761904761906,0.45312728542717123,0.3935606439356064,0.7065293470652935,1
20170705_01_02_01,20170707_09_10_01,0,invisible,0.1,P3,60.0,180.0,109.6,125,140,50,0.37735849056603776,0.3933073974894252,0.36866313368663134,0.6918308169183082,1
20170705_01_02_01,20170707_11_12_01,0,invisible,0.1,P1,0.0,20.0,20.0,29,31,11,0.36666666666666664,-0.6013389253214619,0.7445255474452555,0.34396560343965604,1
20170705_01_02_01,20170707_11_12_01,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,55,24,0.43243243243243246,0.237110421456462,0.45925407459254075,0.6098390160983902,1
20170705_01_02_01,20170707_11_12_01,0,invisible,0.1,P3,60.0,180.0,109.6,125,147,47,0.34558823529411764,-0.548310151035302,0.7387261273872613,0.3153684631536846,1
20170705_01_02_01,20170707_11_12_02,0,invisible,0.1,P1,0.0,20.0,20.0,29,29,10,0.3448275862068966,-0.955149255489469,0.8777122287771223,0.24647535246475352,1
20170705_01_02_01,20170707_11_12_02,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,64,24,0.4,-0.5565435488851052,0.7125287471252875,0.3705629437056294,1
20170705_01_02_01,20170707_11_12_02,0,invisible,0.1,P3,60.0,180.0,109.6,125,163,51,0.3541666666666667,-0.7430881702625259,0.7846215378462154,0.2568743125687431,1
20170705_01_02_01,20170707_11_12_03,0,invisible,0.1,P1,0.0,20.0,20.0,29,33,15,0.4838709677419355,0.2067585536265557,0.45285471452854714,0.6296370362963704,1
20170705_01_02_01,20170707_11_12_03,0,invisible,0.1,P2,20.0,60.0,40.00000000000001,56,59,24,0.41739130434782606,-0.1365430907481831,0.5782421757824218,0.5028497150284972,1
20170705_01_02_01,20170707_11_12_03,0,invisible,0.1,P3,60.0,180.0,109.6,125,153,62,0.4460431654676259,1.6137814160717314,0.058694130586941305,0.9561043895610439,1
