t_center,z_S_t_visible_mean,z_S_t_visible_ci_lo,z_S_t_visible_ci_hi,z_S_t_visible_n,z_S_t_invisible_mean,z_S_t_invisible_ci_lo,z_S_t_invisible_ci_hi,z_S_t_invisible_n,S_excess_visible_mean,S_excess_visible_ci_lo,S_excess_visible_ci_hi,S_excess_visible_n,S_excess_invisible_mean,S_excess_invisible_ci_lo,S_excess_invisible_ci_hi,S_excess_invisible_n
65.5,0.18410003746183648,-0.22517995135997135,0.5933800262836443,30,-0.26917860504237456,-0.6737806945202758,0.1354234844355266,30,3.721315284474728,-3.911984235898753,11.35461480484821,30,-5.369512849125717,-13.192698478624317,2.453672780372884,30
66.5,0.03346281268927795,-0.3188104498027654,0.38573607518132136,30,-0.28247867960105494,-0.6569604209312487,0.0920030617291388,30,0.8918389017243511,-6.019631855901657,7.803309659350359,30,-5.4906888929210895,-12.50482010010707,1.5234423142648896,30
67.5,0.06694929417681192,-0.3055760649526583,0.4394746533062821,30,-0.4305314257514276,-0.8634616968546638,0.0023988453518085096,30,1.65954583774785,-5.830330790564873,9.149422466060573,30,-8.066638529599055,-16.11306833153246,-0.02020872766565207,30
68.5,0.20329563587652644,-0.18351542120191688,0.5901066929549698,30,-0.2878378494640863,-0.6898221455475639,0.11414644661939138,30,4.0192198304504805,-3.7753928087940514,11.813832469695013,30,-5.65058707317221,-13.238037731009692,1.9368635846652709,30
69.5,0.17354597970285193,-0.19608560199385341,0.5431775613995573,30,-0.22897335868858956,-0.6166399149482661,0.158693197571087,30,3.1890443027045197,-4.110456365130794,10.488544970539834,30,-4.774724253587257,-12.089184673565297,2.5397361663907834,30
70.5,0.20123744455264572,-0.13382512146832962,0.5363000105736211,30,-0.15739060798632862,-0.5163006308201147,0.20151941484745747,30,4.153858381041044,-2.4921742801943774,10.799891042276464,30,-3.3837439369769102,-10.075495240108117,3.308007366154296,30
71.5,0.3608911095506384,-0.020637631619728758,0.7424198507210056,30,-0.1677511453590959,-0.515988561358866,0.18048627064067413,30,7.635346725399356,0.10439509800622276,15.16629835279249,30,-3.1999737273676896,-9.806510139125537,3.4065626843901584,30
72.5,0.28967703876720735,-0.12733440349430453,0.7066884810287193,30,-0.23266075855694232,-0.594811597525893,0.1294900804120083,30,6.443912816686812,-2.0097222440542697,14.897547877427892,30,-3.9758046067852555,-10.857294867198524,2.905685653628013,30
73.5,0.11121836919161888,-0.3357740245775214,0.5582107629607592,30,-0.14777660433463582,-0.4881257154852978,0.1925725068160262,30,2.735160809033874,-6.2503869882979055,11.720708606365653,30,-2.402979193378574,-8.753122238375619,3.947163851618471,30
74.5,0.13998457222026886,-0.32132806431536975,0.6012972087559074,30,0.0726028465845704,-0.26139965385118397,0.40660534702032475,30,2.912176612746272,-6.127661294812663,11.952014520305207,30,1.3969619464929066,-4.735897710494674,7.529821603480487,30
75.5,0.2995886866662513,-0.07619305353946837,0.675370426871971,29,-0.00538171423435595,-0.31423305383925887,0.30346962537054695,30,5.651374946862563,-1.5489898708946535,12.85173976461978,30,-0.40057112343567486,-6.193570245663071,5.39242799879172,30
76.5,0.19009183195199172,-0.1964856292691378,0.5766692931731212,29,0.0051061192343333835,-0.2723727376111749,0.28258497607984173,30,3.5239929056724693,-3.895820567898208,10.943806379243146,30,-0.173434859659317,-5.231123708186193,4.8842539888675605,30
77.5,0.12863409903972947,-0.2328608603850035,0.4901290584644624,29,-0.03399650607796092,-0.31195522327775693,0.2439622111218351,30,2.724228619477072,-4.04965985663373,9.498117095587874,30,-0.9321329346035223,-6.1206570773013205,4.256391208094276,30
78.5,0.28756444506822026,-0.08975962474376797,0.6648885148802085,29,-0.23214928260205983,-0.5748520471482184,0.11055348194409872,30,5.558344989175484,-1.2916601708737632,12.40835014922473,30,-4.590240786618495,-11.131066718538083,1.9505851453010938,30
79.5,0.43129275191149813,0.09936801078916835,0.7632174930338279,29,-0.38739779428343246,-0.7476203833706956,-0.027175205196169394,30,8.165202129054293,2.0540931133476157,14.276311144760973,30,-7.987909667502543,-14.703947562387153,-1.271871772617933,30
80.5,0.19621099194796432,-0.18633705109916143,0.5787590349950901,30,-0.2098700874886007,-0.5931567204812663,0.17341654550406493,30,4.187284266931324,-3.0480888478638177,11.422657381726466,30,-4.359738798381987,-11.59217002869712,2.8726924319331464,30
81.5,0.3852777007683376,0.03932969686359217,0.731225704673083,30,-0.2293671467221401,-0.6291511315109604,0.17041683806668018,30,7.334049380472754,0.9442457609639826,13.723852999981526,30,-4.684667481326148,-12.122983061136082,2.753648098483786,30
82.5,0.4083019547262696,0.1529645566766577,0.6636393527758815,30,-0.2468210831697791,-0.556597302376194,0.06295513603663574,30,8.002265736213099,3.013027880934623,12.991503591491574,30,-4.929748027772019,-10.981244085388065,1.1217480298440268,30
83.5,0.3694474358338074,0.0892708624950716,0.6496240091725431,30,-0.2932831285661409,-0.640131831242801,0.053565574110519265,30,6.9916745166311705,1.6575811203078001,12.325767912954541,30,-5.5175760369661315,-12.215232662467104,1.1800805885348424,30
84.5,0.21462085835649752,-0.09297986092920707,0.5222215776422021,30,-0.3102027417710185,-0.7058023394484514,0.08539685590641444,30,4.048064313080566,-1.963771368925131,10.059899995086264,30,-5.9917627205955375,-13.70389453549358,1.720369094302506,30
85.5,0.32299234753879424,0.0029302051191809064,0.6430544899584076,30,-0.39524642135773164,-0.7515403624717114,-0.038952480243751864,30,5.624186585115377,-0.35733453705660695,11.605707707287362,30,-7.923512350165601,-14.807662493564788,-1.039362206766413,30
86.5,0.3667110691890592,0.07362566841989349,0.6597964699582249,30,-0.3402617266416004,-0.6750543174272097,-0.005469135855991181,30,6.757863236837696,1.103105729188293,12.412620744487098,30,-6.585183030878078,-13.022475780274029,-0.14789028148212702,30
87.5,0.17185400069271034,-0.13665123109093147,0.48035923247635215,30,-0.4049372588848116,-0.6721660474465155,-0.13770847032310762,30,3.392428318957731,-2.5311066897188503,9.315963327634314,30,-7.855191029358211,-13.075507378921866,-2.6348746797945557,30
88.5,0.05475059588157876,-0.23222443729934655,0.3417256290625041,30,-0.2423973704988414,-0.5203318242419878,0.035537083244304934,30,1.1500520960234577,-4.3566361915587954,6.65674038360571,30,-4.7843368519103455,-10.076101157385112,0.5074274535644206,30
89.5,-0.09299858441169011,-0.4670029799713901,0.2810058111480099,30,-0.13982753489774585,-0.45445126372176287,0.17479619392627116,30,-1.6869253908286412,-8.984072755360842,5.61022197370356,30,-2.9563470546991897,-9.144025292533183,3.231331183134803,30
90.5,-0.09517747107622129,-0.510498540883711,0.3201435987312684,30,-0.17858780257581008,-0.527405810798779,0.17023020564715885,30,-1.6699100314603408,-9.727325102724686,6.3875050398040045,30,-3.9032798288555797,-10.689979423847731,2.883419766136572,30
91.5,-0.238215276067906,-0.5828461488120114,0.10641559667619943,29,-0.27525016245294626,-0.6804093640531392,0.12990903914724666,30,-4.605016907270003,-10.966925607118087,1.7568917925780816,30,-5.238301611163101,-12.852484286799386,2.3758810644731843,30
92.5,-0.14274642361955947,-0.5015763327843406,0.21608348554522155,29,-0.17379410595450773,-0.636162140994951,0.2885739290859356,30,-2.921504013558968,-9.52987650457911,3.6868684774611764,30,-2.9901690167355457,-11.596137554866262,5.615799521395171,30
93.5,0.014030792109544403,-0.35223310264035573,0.3802946868594445,30,-0.128220426107393,-0.5674921674050233,0.3110513151902372,30,0.1444862360435096,-6.943424218198345,7.232396690285363,30,-2.046473553163956,-10.297469260553394,6.204522154225481,30
94.5,0.07688776371932739,-0.29532497169126826,0.449100499129923,29,-0.13249074157581325,-0.5378971423333893,0.27291565918176275,30,1.1631521828289733,-5.90515610042147,8.231460466079417,29,-2.2610476148092253,-9.67806513727685,5.155969907658399,30
95.5,-0.01902912409087421,-0.4245589919073835,0.3865007437256351,29,-0.0011874902986792168,-0.3829722666386312,0.3805972860412728,30,-0.31711631061369644,-8.041293092376188,7.407060471148795,29,-0.09178661881061294,-7.0984372555237165,6.914864017902491,30
96.5,0.05520296371051455,-0.28223598389501736,0.3926419113160464,29,-0.025046420291742717,-0.36115413675193214,0.31106129616844674,30,0.892740796325724,-5.499623273006468,7.285104865657916,29,-0.3850641513056363,-6.4954870445882,5.725358741976926,30
97.5,0.07146148970938053,-0.2452930821792218,0.3882160615979829,29,0.09213285818642444,-0.296414910585441,0.48068062695828995,30,0.5057224731426727,-5.180444835480889,6.191889781766234,29,1.2595305752325874,-5.721583992069717,8.240645142534891,30
98.5,0.11266451361310822,-0.20903313745972027,0.4343621646859367,29,0.24173577811621644,-0.12971499664622932,0.6131865528786622,30,1.6818889152376366,-4.375188378204771,7.738966208680044,29,4.632905753975414,-2.224938495300864,11.49075000325169,30
99.5,-0.00965648396383821,-0.37482244403979587,0.3555094761121194,29,0.3617938511785463,0.03689631101333113,0.6866913913437614,30,-0.4771803226428507,-7.413004844088403,6.458644198802702,29,7.1438113437989585,0.945900830855205,13.34172185674271,30
100.5,0.06092710788970483,-0.32312291895521567,0.44497713473462536,29,0.15199687267075818,-0.2114721150245028,0.5154658603660192,30,0.7730320928137729,-6.652738427711253,8.1988026133388,29,2.7152422680792574,-4.3169642982165355,9.74744883437505,30
101.5,-0.01215541004017413,-0.3905745905291886,0.36626377044884034,29,0.2665901110080093,-0.1543573224593432,0.6875375444753618,30,0.0033683978204629476,-7.1575040873693165,7.164240883010244,29,4.247483727343635,-3.7404327523992578,12.235400207086528,30
102.5,-0.06862279245392562,-0.4173212352631014,0.28007565035525017,29,0.17309459964987237,-0.27009187676767277,0.6162810760674176,30,-1.0964389864432575,-7.755356586256118,5.562478613369604,29,2.6386318025513074,-5.860132305617097,11.137395910719711,30
103.5,-0.028867538944660584,-0.38799069038890033,0.33025561249957913,29,-0.07786311782474725,-0.46007590716839736,0.30434967151890285,30,-0.38181257869445134,-7.116997607680318,6.353372450291415,29,-1.9393395326150733,-9.219425010312305,5.340745945082158,30
104.5,0.028240950429917942,-0.35214970669745865,0.4086316075572945,29,-0.08351046623635093,-0.4557104139353254,0.2886894814626235,30,0.26653527314411424,-6.953895854213635,7.486966400501863,29,-1.3954342348398072,-8.334446033496889,5.5435775638172755,30
105.5,-0.16466015944654175,-0.48910785756963515,0.15978753867655163,29,0.084330725105746,-0.2912857031383785,0.4599471533498705,30,-3.702464850902983,-9.807075531099306,2.4021458292933398,29,1.939370835992352,-5.14704172828602,9.025783400270724,30
106.5,-0.03462304362736769,-0.29709361905659765,0.2278475318018623,29,0.12441030851499776,-0.2799635522671652,0.5287841692971607,30,-1.1087442161766925,-6.342711141584147,4.125222709230762,29,2.612349922164701,-5.245230487797965,10.469930332127369,30
107.5,0.009171274664710825,-0.3307043260329246,0.3490468753623463,29,0.006267339746956073,-0.38466003238355717,0.39719471187746935,30,-0.35553770284020186,-6.938515421559731,6.227440015879328,29,0.41051259842668664,-7.176440301889525,7.997465498742898,30
108.5,-0.19633443141804438,-0.5644490957788333,0.17178023294274455,28,0.04448922041723425,-0.3906764878909514,0.47965492872541987,30,-3.710640698903483,-10.618017131005189,3.1967357331982242,29,1.0892523131423066,-7.410593634039847,9.58909826032446,30
109.5,-0.14705790143244904,-0.5747867457247592,0.28067094285986105,28,0.06545902531492309,-0.3186661755104067,0.4495842261402529,30,-2.367359864966888,-10.143011415807552,5.408291685873776,29,1.2454380127955977,-6.073906465873908,8.564782491465104,30
110.5,0.09126060771349835,-0.31190501654315916,0.4944262319701559,28,-0.1264826394745521,-0.520621287073837,0.2676560081247329,30,1.9026502401966798,-5.609303599077843,9.414604079471202,29,-2.331089354545236,-9.917337708501769,5.255158999411299,30
111.5,0.18350234549729755,-0.21395827013899144,0.5809629611335865,28,-0.27022202029624165,-0.6687976987088359,0.12835365811635258,30,3.6060507166877946,-3.888277735355561,11.10037916873115,29,-5.161970399970399,-12.700190815768392,2.376250015827594,30
112.5,0.2273685854126816,-0.1523105775622404,0.6070477483876036,28,-0.1849269184505028,-0.5909738398097903,0.2211200029087847,29,4.1052591163803385,-2.9494056903749053,11.159923923135583,29,-2.8676953184128093,-10.429938539535312,4.694547902709694,30
113.5,0.3086489948116657,-0.022287378086124465,0.6395853677094558,28,-0.401846641810085,-0.8068813810736979,0.0031880974535279383,30,6.077669618378489,0.16738334346399972,11.987955893292979,29,-6.873246843283992,-14.69206304198438,0.9455693554163952,30
114.5,0.2532528711925158,-0.1277744879034669,0.6342802302884986,29,-0.4039792789433926,-0.8104126527314703,0.0024540948446851174,30,4.434693886709474,-2.479631526203454,11.349019299622402,29,-7.465562470610457,-15.586449544566761,0.6553246033458471,30
115.5,-0.019324892149026416,-0.4175641772608103,0.3789143929627574,28,-0.23749247928420741,-0.6205174610231197,0.14553250245470478,30,-0.8946191012290083,-8.360777168673668,6.571538966215653,29,-4.46421190880556,-11.896758073092354,2.968334255481233,30
