delta,condition,period,dyad_id,pair_id,n_matches,median_dt,median_abs_dt,prop_pos,prop_band_150_300
0.1,visible,P3,20170714_01_02,20170714_01_02_02,81,0,0.0999999999999943,0.25925925925925924,0
0.1,visible,P3,20170714_01_02,20170714_01_02_03,81,0,0.0999999999999943,0.37037037037037035,0
0.1,visible,P3,20170714_03_04,20170714_03_04_01,44,0.04999999999999715,0.0999999999999943,0.5,0
0.1,visible,P3,20170714_03_04,20170714_03_04_02,44,0,0.0999999999999943,0.2727272727272727,0
0.1,visible,P3,20170714_03_04,20170714_03_04_03,65,0,0.0999999999999943,0.4307692307692308,0
0.1,visible,P3,20170714_05_06,20170714_05_06_01,53,0,0.0999999999999943,0.3018867924528302,0
0.1,visible,P3,20170714_05_06,20170714_05_06_02,59,0,0.0999999999999943,0.4067796610169492,0
0.1,visible,P3,20170714_05_06,20170714_05_06_03,63,0,0.0999999999999943,0.36507936507936506,0
0.1,visible,P3,20170714_07_08,20170714_07_08_01,21,0,0.0999999999999943,0.2857142857142857,0
0.1,visible,P3,20170714_07_08,20170714_07_08_02,39,0,0.0999999999999943,0.38461538461538464,0
0.1,visible,P3,20170714_07_08,20170714_07_08_03,41,0,0.0999999999999943,0.3170731707317073,0
