pair_id,condition,delta,period,a_time,b_time,dt,a_time_rel,b_time_rel
20170705_03_04_01,invisible,0.1,P3,109.1,109.0,0.0999999999999943,105.9,105.8
20170705_03_04_01,invisible,0.1,P3,110.2,110.2,0.0,107.0,107.0
20170705_03_04_01,invisible,0.1,P3,111.4,111.5,-0.0999999999999943,108.2,108.3
20170705_03_04_01,invisible,0.1,P3,114.1,114.2,-0.1000000000000085,110.9,111.0
20170705_03_04_01,invisible,0.1,P3,114.8,114.9,-0.1000000000000085,111.6,111.7
20170705_03_04_01,invisible,0.1,P3,115.5,115.6,-0.0999999999999943,112.3,112.4
20170705_03_04_01,invisible,0.1,P3,119.2,119.1,0.1000000000000085,116.0,115.9
20170705_03_04_01,invisible,0.1,P3,125.1,125.2,-0.1000000000000085,121.9,122.0
20170705_03_04_01,invisible,0.1,P3,125.5,125.6,-0.0999999999999943,122.3,122.4
20170705_03_04_01,invisible,0.1,P3,126.0,126.1,-0.0999999999999943,122.8,122.9
20170705_03_04_01,invisible,0.1,P3,132.3,132.4,-0.0999999999999943,129.10000000000002,129.20000000000002
20170705_03_04_01,invisible,0.1,P3,133.0,132.9,0.0999999999999943,129.8,129.70000000000002
20170705_03_04_01,invisible,0.1,P3,133.5,133.4,0.0999999999999943,130.3,130.20000000000002
20170705_03_04_01,invisible,0.1,P3,134.0,133.9,0.0999999999999943,130.8,130.70000000000002
20170705_03_04_01,invisible,0.1,P3,134.6,134.5,0.0999999999999943,131.4,131.3
20170705_03_04_01,invisible,0.1,P3,135.1,135.0,0.0999999999999943,131.9,131.8
20170705_03_04_01,invisible,0.1,P3,135.6,135.5,0.0999999999999943,132.4,132.3
20170705_03_04_01,invisible,0.1,P3,136.2,136.1,0.0999999999999943,133.0,132.9
20170705_03_04_01,invisible,0.1,P3,136.7,136.7,0.0,133.5,133.5
