label,condition,coder,t,matched,local_gap
20170705_03_04_01_A,invisible,second,31.5,1,0.5999999999999979
20170705_03_04_01_A,invisible,second,33.300000000000004,1,0.6999999999999957
20170705_03_04_01_A,invisible,second,34.0,0,0.6999999999999957
20170705_03_04_01_A,invisible,second,35.300000000000004,1,0.5
20170705_03_04_01_A,invisible,second,35.800000000000004,1,0.5
20170705_03_04_01_A,invisible,second,36.4,1,0.5
20170705_03_04_01_A,invisible,second,36.9,0,0.5
20170705_03_04_01_A,invisible,second,37.5,1,0.30000000000000426
20170705_03_04_01_A,invisible,second,37.800000000000004,0,0.30000000000000426
20170705_03_04_01_A,invisible,second,38.300000000000004,1,0.5
20170705_03_04_01_A,invisible,second,38.800000000000004,1,0.5
20170705_03_04_01_A,invisible,second,39.300000000000004,1,0.5
20170705_03_04_01_A,invisible,second,39.800000000000004,0,0.5
20170705_03_04_01_A,invisible,second,40.800000000000004,1,1.0
20170705_03_04_01_A,invisible,second,42.900000000000006,0,1.7999999999999972
20170705_03_04_01_A,invisible,second,44.7,1,0.6000000000000014
20170705_03_04_01_A,invisible,second,45.300000000000004,0,0.6000000000000014
20170705_03_04_01_A,invisible,second,45.900000000000006,1,0.5
20170705_03_04_01_A,invisible,second,46.400000000000006,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,46.800000000000004,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,47.900000000000006,1,0.5999999999999943
20170705_03_04_01_A,invisible,second,48.5,1,0.5999999999999943
20170705_03_04_01_A,invisible,second,49.2,1,0.7000000000000028
20170705_03_04_01_A,invisible,second,49.900000000000006,1,0.5
20170705_03_04_01_A,invisible,second,50.400000000000006,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,50.800000000000004,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,51.300000000000004,1,0.5
20170705_03_04_01_A,invisible,second,51.900000000000006,1,0.6000000000000014
20170705_03_04_01_A,invisible,second,52.6,1,0.6999999999999957
20170705_03_04_01_A,invisible,second,54.1,1,1.5
20170705_03_04_01_A,invisible,second,56.0,1,0.6000000000000014
20170705_03_04_01_A,invisible,second,56.6,1,0.5
20170705_03_04_01_A,invisible,second,57.1,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,57.5,1,0.3999999999999986
20170705_03_04_01_A,invisible,second,58.0,1,0.4000000000000057
20170705_03_04_01_A,invisible,second,58.400000000000006,1,0.4000000000000057
20170705_03_04_01_A,invisible,second,58.900000000000006,1,0.5
20170705_03_04_01_A,invisible,second,59.400000000000006,1,0.5
20170705_03_04_01_A,invisible,second,60.0,1,0.5
20170705_03_04_01_A,invisible,second,60.5,1,0.5
20170705_03_04_01_A,invisible,second,61.0,1,0.5
20170705_03_04_01_A,invisible,second,61.7,1,0.7000000000000028
20170705_03_04_01_A,invisible,second,62.400000000000006,0,0.5999999999999943
20170705_03_04_01_A,invisible,second,63.0,1,0.5999999999999943
20170705_03_04_01_A,invisible,second,64.60000000000001,1,1.6000000000000085
20170705_03_04_01_A,invisible,second,70.10000000000001,0,0.5999999999999943
20170705_03_04_01_A,invisible,second,70.7,1,0.5
20170705_03_04_01_A,invisible,second,71.2,1,0.5
