label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,p95_abs_dt,mean_dt_signed,median_dt_signed,offset_applied
20170714_07_08_02_B,visible,0.15,157,160,64,0.4,0.40764331210191085,0.4037854889589906,0.09999999999999432,0.10000000000000853,0.007812499999999861,0.0,0.0
20170714_07_08_02_B,visible,0.2,157,160,108,0.675,0.6878980891719745,0.6813880126182965,0.10000000000000142,0.20000000000000284,0.012037037037037669,0.0,0.0
20170714_07_08_02_B,visible,0.3,157,160,121,0.75625,0.7707006369426752,0.7634069400630914,0.10000000000000853,0.3000000000000007,-0.010743801652891958,0.0,0.0
20170714_07_08_02_B,visible,0.5,157,160,133,0.83125,0.8471337579617835,0.8391167192429022,0.19999999999998863,0.5,-0.06090225563909711,0.0,0.0
20170724_04_03,solo,0.05,220,199,49,0.24623115577889448,0.22272727272727272,0.23389021479713604,0.0,0.0,0.0,0.0,0.0
20170724_04_03,solo,0.1,220,199,128,0.6432160804020101,0.5818181818181818,0.6109785202863962,0.09999999999999432,0.10000000000000853,0.016406249999999428,0.0,0.0
20170724_04_03,solo,0.15,220,199,128,0.6432160804020101,0.5818181818181818,0.6109785202863962,0.09999999999999432,0.10000000000000853,0.016406249999999428,0.0,0.0
20170724_04_03,solo,0.2,220,199,162,0.8140703517587939,0.7363636363636363,0.7732696897374701,0.09999999999999787,0.20000000000000284,0.03271604938271572,0.0,0.0
20170724_04_03,solo,0.3,220,199,182,0.914572864321608,0.8272727272727273,0.8687350835322195,0.10000000000000142,0.30000000000000054,0.02912087912087873,0.0,0.0
20170724_04_03,solo,0.5,220,199,188,0.9447236180904522,0.8545454545454545,0.8973747016706443,0.10000000000000142,0.4650000000000026,0.02234042553191486,0.0,0.0
20170725_05_01,solo,0.05,142,100,14,0.14,0.09859154929577464,0.11570247933884298,0.0,0.0,0.0,0.0,0.09999999999999432
20170725_05_01,solo,0.1,142,100,40,0.4,0.28169014084507044,0.3305785123966943,0.09999999999999964,0.10000000000000853,0.01999999999999962,0.0,0.09999999999999432
20170725_05_01,solo,0.15,142,100,40,0.4,0.28169014084507044,0.3305785123966943,0.09999999999999964,0.10000000000000853,0.01999999999999962,0.0,0.09999999999999432
20170725_05_01,solo,0.2,142,100,62,0.62,0.43661971830985913,0.512396694214876,0.10000000000000142,0.20000000000000284,0.03225806451612844,0.04999999999999716,0.09999999999999432
20170725_05_01,solo,0.3,142,100,84,0.84,0.5915492957746479,0.6942148760330579,0.1999999999999975,0.3000000000000007,0.03095238095238059,0.09999999999999432,0.09999999999999432
20170725_05_01,solo,0.5,142,100,94,0.94,0.6619718309859155,0.7768595041322315,0.1999999999999993,0.4000000000000057,0.038297872340425074,0.09999999999999432,0.09999999999999432
20170725_07_01,solo,0.05,158,138,33,0.2391304347826087,0.2088607594936709,0.22297297297297297,0.0,0.0,0.0,0.0,0.0
20170725_07_01,solo,0.1,158,138,77,0.5579710144927537,0.4873417721518987,0.5202702702702703,0.09999999999999432,0.10000000000001137,-0.0077922077922081105,0.0,0.0
20170725_07_01,solo,0.15,158,138,77,0.5579710144927537,0.4873417721518987,0.5202702702702703,0.09999999999999432,0.10000000000001137,-0.0077922077922081105,0.0,0.0
