label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,offset_applied
20170710_13_14_03_A,invisible,0.5,250,252,232,0.9206349206349206,0.928,0.9243027888446215,0.10000000000000853,0.0
20170710_15_16_02_A,invisible,0.05,170,165,34,0.20606060606060606,0.2,0.20298507462686569,7.105427357601002e-15,-0.09999999999999432
20170710_15_16_02_A,invisible,0.1,170,165,83,0.503030303030303,0.48823529411764705,0.49552238805970156,0.09999999999999432,-0.09999999999999432
20170710_15_16_02_A,invisible,0.15,170,165,83,0.503030303030303,0.48823529411764705,0.49552238805970156,0.09999999999999432,-0.09999999999999432
20170710_15_16_02_A,invisible,0.2,170,165,115,0.696969696969697,0.6764705882352942,0.6865671641791046,0.09999999999999432,-0.09999999999999432
20170710_15_16_02_A,invisible,0.3,170,165,139,0.8424242424242424,0.8176470588235294,0.8298507462686566,0.10000000000000853,-0.09999999999999432
20170710_15_16_02_A,invisible,0.5,170,165,145,0.8787878787878788,0.8529411764705882,0.8656716417910447,0.10000000000000853,-0.09999999999999432
20170705_01_02_01_B,invisible,0.05,188,193,19,0.09844559585492228,0.10106382978723404,0.09973753280839895,0.0,0.0
20170705_01_02_01_B,invisible,0.1,188,193,70,0.3626943005181347,0.3723404255319149,0.3674540682414698,0.09999999999999432,0.0
20170705_01_02_01_B,invisible,0.15,188,193,70,0.3626943005181347,0.3723404255319149,0.3674540682414698,0.09999999999999432,0.0
20170705_01_02_01_B,invisible,0.2,188,193,129,0.6683937823834197,0.6861702127659575,0.6771653543307086,0.10000000000000853,0.0
20170705_01_02_01_B,invisible,0.3,188,193,159,0.8238341968911918,0.8457446808510638,0.8346456692913385,0.19999999999998863,0.0
20170705_01_02_01_B,invisible,0.5,188,193,171,0.8860103626943006,0.9095744680851063,0.8976377952755905,0.1999999999999993,0.0
20170705_03_04_02_B,invisible,0.05,251,273,60,0.21978021978021978,0.23904382470119523,0.22900763358778628,0.0,-0.10000000000000142
20170705_03_04_02_B,invisible,0.1,251,273,157,0.575091575091575,0.6254980079681275,0.5992366412213739,0.09999999999999432,-0.10000000000000142
20170705_03_04_02_B,invisible,0.15,251,273,157,0.575091575091575,0.6254980079681275,0.5992366412213739,0.09999999999999432,-0.10000000000000142
20170705_03_04_02_B,invisible,0.2,251,273,216,0.7912087912087912,0.8605577689243028,0.8244274809160305,0.10000000000000142,-0.10000000000000142
20170705_03_04_02_B,invisible,0.3,251,273,235,0.8608058608058609,0.9362549800796812,0.8969465648854962,0.10000000000000142,-0.10000000000000142
20170705_03_04_02_B,invisible,0.5,251,273,246,0.9010989010989011,0.9800796812749004,0.9389312977099238,0.20000000000001705,-0.10000000000000142
20170707_01_02_03_B,invisible,0.05,290,267,64,0.2397003745318352,0.2206896551724138,0.229802513464991,0.0,0.0
20170707_01_02_03_B,invisible,0.1,290,267,163,0.6104868913857678,0.5620689655172414,0.585278276481149,0.09999999999999432,0.0
20170707_01_02_03_B,invisible,0.15,290,267,163,0.6104868913857678,0.5620689655172414,0.585278276481149,0.09999999999999432,0.0
20170707_01_02_03_B,invisible,0.2,290,267,231,0.8651685393258427,0.7965517241379311,0.829443447037702,0.10000000000000142,0.0
20170707_01_02_03_B,invisible,0.3,290,267,253,0.947565543071161,0.8724137931034482,0.9084380610412927,0.10000000000000853,0.0
