video,condition,period,delta,null,n_a,n_b,n_match,S,zS,p
20170706_03_04_03,visible,P1,1.0,grid,19,26,19,0.8444444444444444,1.3497056734705677,0.2433783108445777
20170706_03_04_03,visible,P2,1.0,grid,58,63,53,0.8760330578512396,0.45484048987672704,0.46326836581709147
20170706_03_04_03,visible,P3,1.0,grid,156,171,127,0.7767584097859327,-1.5850477319663983,0.9685157421289355
20170706_05_06_01,visible,P1,0.1,continuous,26,19,6,0.26666666666666666,-0.13676043255325426,0.6606696651674163
20170706_05_06_01,visible,P2,0.1,continuous,57,44,19,0.37623762376237624,2.1950306429668287,0.01899050474762619
20170706_05_06_01,visible,P3,0.1,continuous,122,131,44,0.34782608695652173,3.7236666302273154,0.0004997501249375312
20170706_05_06_01,visible,P1,0.1,grid,26,19,6,0.26666666666666666,-1.631572725872475,0.9665167416291854
20170706_05_06_01,visible,P2,0.1,grid,57,44,19,0.37623762376237624,0.09316064220924919,0.519240379810095
20170706_05_06_01,visible,P3,0.1,grid,122,131,44,0.34782608695652173,0.8273708117582074,0.23288355822088955
20170706_05_06_01,visible,P1,0.2,continuous,26,19,17,0.7555555555555555,2.6605629838355402,0.00849575212393803
20170706_05_06_01,visible,P2,0.2,continuous,57,44,32,0.6336633663366337,2.2971651791324605,0.017491254372813594
20170706_05_06_01,visible,P3,0.2,continuous,122,131,72,0.5691699604743083,3.7585644765342194,0.0004997501249375312
20170706_05_06_01,visible,P1,0.2,grid,26,19,17,0.7555555555555555,1.8366635181159132,0.025487256371814093
20170706_05_06_01,visible,P2,0.2,grid,57,44,32,0.6336633663366337,0.5965492461035904,0.3333333333333333
20170706_05_06_01,visible,P3,0.2,grid,122,131,72,0.5691699604743083,1.2608345370359906,0.12393803098450774
20170706_05_06_01,visible,P1,0.3,continuous,26,19,17,0.7555555555555555,1.2318223114385634,0.24187906046976512
20170706_05_06_01,visible,P2,0.3,continuous,57,44,34,0.6732673267326733,-0.18642226721666133,0.68015992003998
20170706_05_06_01,visible,P3,0.3,continuous,122,131,90,0.7114624505928854,3.0699106185611713,0.00399800099950025
20170706_05_06_01,visible,P1,0.3,grid,26,19,17,0.7555555555555555,0.8663994957462438,0.3363318340829585
20170706_05_06_01,visible,P2,0.3,grid,57,44,34,0.6732673267326733,-1.572352243047681,0.9825087456271864
20170706_05_06_01,visible,P3,0.3,grid,122,131,90,0.7114624505928854,1.44902690585922,0.10594702648675662
20170706_05_06_01,visible,P1,0.5,continuous,26,19,18,0.8,1.534635452464075,0.15992003998001
20170706_05_06_01,visible,P2,0.5,continuous,57,44,37,0.7326732673267327,-0.9105972948144927,0.9095452273863068
20170706_05_06_01,visible,P3,0.5,continuous,122,131,98,0.7747035573122529,1.2580468592333593,0.13243378310844578
20170706_05_06_01,visible,P1,0.5,grid,26,19,18,0.8,1.2746886927775047,0.2433783108445777
20170706_05_06_01,visible,P2,0.5,grid,57,44,37,0.7326732673267327,-1.3521972476282331,0.9805097451274363
20170706_05_06_01,visible,P3,0.5,grid,122,131,98,0.7747035573122529,0.6228754024405032,0.3118440779610195
20170706_05_06_01,visible,P1,1.0,continuous,26,19,18,0.8,1.1472507214232914,0.2593703148425787
20170706_05_06_01,visible,P2,1.0,continuous,57,44,38,0.7524752475247525,-0.7812568598021649,0.8765617191404298
20170706_05_06_01,visible,P3,1.0,continuous,122,131,101,0.7984189723320159,0.760514823096381,0.2843578210894553
20170706_05_06_01,visible,P1,1.0,grid,26,19,18,0.8,1.0736303222325017,0.2893553223388306
20170706_05_06_01,visible,P2,1.0,grid,57,44,38,0.7524752475247525,-1.030036232409181,0.9220389805097451
20170706_05_06_01,visible,P3,1.0,grid,122,131,101,0.7984189723320159,0.5258759730372818,0.3743128435782109
20170706_05_06_02,visible,P1,0.1,continuous,28,21,13,0.5306122448979592,2.7012667089922466,0.005497251374312844
20170706_05_06_02,visible,P2,0.1,continuous,59,51,24,0.43636363636363634,2.57895917047974,0.0074962518740629685
20170706_05_06_02,visible,P3,0.1,continuous,142,148,50,0.3448275862068966,2.786440886476866,0.00849575212393803
20170706_05_06_02,visible,P1,0.1,grid,28,21,13,0.5306122448979592,0.8996061801576497,0.2688655672163918
20170706_05_06_02,visible,P2,0.1,grid,59,51,24,0.43636363636363634,0.5853888063429503,0.31334332833583206
20170706_05_06_02,visible,P3,0.1,grid,142,148,50,0.3448275862068966,-0.4025086957365112,0.6771614192903548
20170706_05_06_02,visible,P1,0.2,continuous,28,21,18,0.7346938775510204,1.6071410423497647,0.05847076461769116
