video,condition,arm,rep,period,n_a,n_b,n_match,S,zS,p
20170706_01_02_03,visible,null,6,P2,59,40,16,0.32323232323232326,-0.21860581668046622,0.6413586413586414
20170706_01_02_03,visible,null,6,P3,145,110,29,0.22745098039215686,-1.9273447536211386,0.985014985014985
20170706_01_02_03,visible,jitter,7,P1,21,19,5,0.25,-0.8360875441201694,0.8631368631368631
20170706_01_02_03,visible,jitter,7,P2,61,43,20,0.38461538461538464,1.2857210436177182,0.13786213786213786
20170706_01_02_03,visible,jitter,7,P3,148,107,32,0.25098039215686274,-1.4169517944743322,0.945054945054945
20170706_01_02_03,visible,null,7,P1,23,14,8,0.43243243243243246,1.5256618656992142,0.13186813186813187
20170706_01_02_03,visible,null,7,P2,58,41,17,0.3434343434343434,0.2880436763566485,0.42957042957042957
20170706_01_02_03,visible,null,7,P3,146,112,46,0.35658914728682173,1.8698620707387024,0.03596403596403597
20170706_01_02_03,visible,jitter,8,P1,22,19,7,0.34146341463414637,-0.19549078070210246,0.6703296703296703
20170706_01_02_03,visible,jitter,8,P2,59,41,18,0.36,0.5150146155277671,0.35264735264735264
20170706_01_02_03,visible,jitter,8,P3,151,101,39,0.30952380952380953,0.6437319894576838,0.2987012987012987
20170706_01_02_03,visible,null,8,P1,16,13,5,0.3448275862068966,-0.15412427862890277,0.6793206793206793
20170706_01_02_03,visible,null,8,P2,59,35,12,0.2553191489361702,-0.6771063020669223,0.8131868131868132
20170706_01_02_03,visible,null,8,P3,143,118,42,0.3218390804597701,0.49833573168313994,0.3696303696303696
20170706_01_02_03,visible,jitter,9,P1,22,16,6,0.3157894736842105,-0.4751318892948002,0.7972027972027972
20170706_01_02_03,visible,jitter,9,P2,60,42,18,0.35294117647058826,0.2143655978188377,0.48951048951048953
20170706_01_02_03,visible,jitter,9,P3,150,105,40,0.3137254901960784,0.6166440183493843,0.3206793206793207
20170706_01_02_03,visible,null,9,P1,20,14,4,0.23529411764705882,-1.0780160595191428,0.906093906093906
20170706_01_02_03,visible,null,9,P2,59,34,10,0.21505376344086022,-1.1953176985243519,0.9070929070929071
20170706_01_02_03,visible,null,9,P3,147,118,35,0.2641509433962264,-1.3364108219507653,0.9370629370629371
20170706_01_02_03,visible,jitter,10,P1,22,18,5,0.25,-1.207010770457331,0.913086913086913
20170706_01_02_03,visible,jitter,10,P2,60,41,14,0.27722772277227725,-0.9183369785750966,0.8681318681318682
20170706_01_02_03,visible,jitter,10,P3,151,106,40,0.311284046692607,0.5304128141571984,0.3356643356643357
20170706_01_02_03,visible,null,10,P1,22,15,4,0.21621621621621623,-1.1629334644828786,0.955044955044955
20170706_01_02_03,visible,null,10,P2,59,35,13,0.2765957446808511,-0.2269889395666946,0.6633366633366633
20170706_01_02_03,visible,null,10,P3,148,116,39,0.29545454545454547,-0.39905804472070394,0.7062937062937062
20170706_03_04_01,visible,real,0,P1,19,18,6,0.32432432432432434,-0.3243712042313881,0.6323676323676324
20170706_03_04_01,visible,real,0,P2,51,52,19,0.36893203883495146,-0.2048212662043973,0.6353646353646354
20170706_03_04_01,visible,real,0,P3,154,157,70,0.45016077170418006,1.5385527497045075,0.07292707292707293
20170706_03_04_01,visible,jitter,1,P1,19,18,8,0.43243243243243246,1.1239733930919231,0.22877122877122877
20170706_03_04_01,visible,jitter,1,P2,50,51,18,0.3564356435643564,0.3037268894687683,0.44455544455544455
20170706_03_04_01,visible,jitter,1,P3,152,153,63,0.4131147540983607,1.9669957754216238,0.03496503496503497
20170706_03_04_01,visible,null,1,P1,18,18,7,0.3888888888888889,0.26804322772936645,0.5154845154845155
20170706_03_04_01,visible,null,1,P2,51,50,21,0.4158415841584158,1.6046604752066131,0.08391608391608392
20170706_03_04_01,visible,null,1,P3,151,154,48,0.31475409836065577,-1.0101028911036332,0.8601398601398601
20170706_03_04_01,visible,jitter,2,P1,18,18,9,0.5,1.2467040625565025,0.17282717282717283
20170706_03_04_01,visible,jitter,2,P2,49,49,16,0.32653061224489793,0.0386500308070984,0.5424575424575424
20170706_03_04_01,visible,jitter,2,P3,151,154,56,0.36721311475409835,0.5900913928845526,0.3076923076923077
20170706_03_04_01,visible,null,2,P1,20,15,4,0.22857142857142856,-0.9034248560828041,0.8891108891108891
20170706_03_04_01,visible,null,2,P2,52,51,15,0.2912621359223301,-1.1212876127041929,0.9180819180819181
20170706_03_04_01,visible,null,2,P3,151,155,49,0.3202614379084967,-0.8492160043618754,0.8231768231768232
20170706_03_04_01,visible,jitter,3,P1,19,18,6,0.32432432432432434,0.18956894664843438,0.5744255744255744
20170706_03_04_01,visible,jitter,3,P2,49,50,17,0.3434343434343434,-0.1269640251651887,0.6123876123876124
20170706_03_04_01,visible,jitter,3,P3,152,155,50,0.3257328990228013,-0.8653704788083163,0.8361638361638362
20170706_03_04_01,visible,null,3,P1,19,19,9,0.47368421052631576,1.2937222567023074,0.19880119880119881
20170706_03_04_01,visible,null,3,P2,49,50,19,0.3838383838383838,0.8708861833010855,0.22677322677322678
20170706_03_04_01,visible,null,3,P3,149,153,63,0.41721854304635764,2.1306601689012017,0.01898101898101898
20170706_03_04_01,visible,jitter,4,P1,16,17,4,0.24242424242424243,-0.5337986917554477,0.7602397602397603
20170706_03_04_01,visible,jitter,4,P2,49,53,16,0.3137254901960784,-0.5639799083508638,0.8051948051948052
20170706_03_04_01,visible,jitter,4,P3,154,153,52,0.33876221498371334,-0.37420729832951033,0.6863136863136863
20170706_03_04_01,visible,null,4,P1,19,17,6,0.3333333333333333,-0.351924550213665,0.7242757242757243
20170706_03_04_01,visible,null,4,P2,50,50,17,0.34,0.11340708756158402,0.5474525474525475
20170706_03_04_01,visible,null,4,P3,152,150,47,0.31125827814569534,-1.227100652230089,0.919080919080919
20170706_03_04_01,visible,jitter,5,P1,19,18,6,0.32432432432432434,-0.37110267833359983,0.7512487512487512
20170706_03_04_01,visible,jitter,5,P2,48,52,19,0.38,0.43258009644371964,0.3956043956043956
20170706_03_04_01,visible,jitter,5,P3,154,149,52,0.3432343234323432,-0.11815559951804702,0.5704295704295704
